OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Haile,HAWTHORNE_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,SouthNewmansLake,Springtree_A,Springtree_B,Springtree_C,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,West_Outer_Gainesville,West_of_Waldo_rd,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
17,1555,12.199999999999999,2553,1.000000000000000,SUWANNEE,669900,46579,2006,100,2553.000000000000000,0.000000000000000,624.000000000000000,639.000000000000000,18,522835.999999999941792,15.797043343268733,-82.634434999999996,29.830767000000002,00165-020-020,HighSprings_B,True,False,False,0.820000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.092849764165681,485458.830108706373721,532037.830108706373721,-137862.169891293626279,-37377.169891293568071,137862.169891293626279,37377.169891293568071,0.794204851632641
66,2179,4.000000000000000,1470,1.000000000000000,SUWANNEE,242400,12203,2003,100,870.000000000000000,0.000000000000000,600.000000000000000,0.000000000000000,21,193837.000000000000000,5.179358473202863,-82.563603999999998,29.840847000000000,00242-001-000,HighSprings_B,False,False,False,0.790000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.437457140087794,252068.748321684019174,264271.748321684019174,21871.748321684019174,58231.748321684019174,21871.748321684019174,58231.748321684019174,1.090229984825429
70,2259,2.640000000000000,1456,1.150000000000000,SUWANNEE,343400,4282,2015,100,1456.000000000000000,0.000000000000000,36.000000000000000,0.000000000000000,9,287608.000000000000000,3.418376592313890,-82.562945999999997,29.828444000000001,00250-001-005,HighSprings_B,True,False,False,0.910000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.732135799666011,338451.404478781274520,342733.404478781274520,-666.595521218725480,50843.404478781274520,666.595521218725480,50843.404478781274520,0.998058836571873
82,2416,4.240000000000000,2608,1.000000000000000,SUWANNEE,220500,24701,1990,100,2378.000000000000000,0.000000000000000,433.000000000000000,0.000000000000000,34,162724.000000000000000,5.490119981595035,-82.584151000000006,29.828498000000000,00259-005-000,HighSprings_B,True,False,False,0.660000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.622925854003407,303435.957490199652966,328136.957490199652966,107636.957490199652966,140711.957490199652966,107636.957490199652966,140711.957490199652966,1.488149467075735
217,4423,3.170000000000000,1214,1.000000000000000,SUWANNEE,241000,3642,2006,100,1214.000000000000000,0.000000000000000,36.000000000000000,294.000000000000000,18,201208.000000000000000,4.104641590013268,-82.625570999999994,29.824978000000002,01440-005-001,HighSprings_B,False,False,False,0.820000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.451360208607653,255597.752550298842834,259239.752550298842834,18239.752550298842834,54389.752550298842834,18239.752550298842834,54389.752550298842834,1.075683620540659
226,4506,12.850000000000000,2118,1.150000000000000,SUWANNEE,468100,19075,2000,100,1047.000000000000000,1071.000000000000000,269.000000000000000,400.000000000000000,24,378810.000000000000000,16.638689095164199,-82.636381999999998,29.824611999999998,01444-001-002,HighSprings_B,False,False,False,0.760000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.960808038976623,425409.723576066258829,444484.723576066258829,-23615.276423933741171,46599.723576066258829,23615.276423933741171,46599.723576066258829,0.949550787387452
227,4570,5.000000000000000,1050,0.900000000000000,SUWANNEE,101300,11040,1994,100,1050.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,75065.000000000000000,6.474198091503579,-82.628765000000001,29.820498000000001,01452-005-000,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.019894402110804,166025.123473152139923,177065.123473152139923,75765.123473152139923,90960.123473152139923,75765.123473152139923,90960.123473152139923,1.747928168540495
228,4598,5.170000000000000,2310,1.150000000000000,SUWANNEE,724300,46703,2017,100,2310.000000000000000,0.000000000000000,1012.000000000000000,1305.000000000000000,7,568952.000000000000000,6.694320826614701,-82.644713999999993,29.823598000000000,01456-005-000,HighSprings_B,False,False,False,0.930000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.211924037955811,546846.837680828757584,593549.837680828757584,-130750.162319171242416,-22105.162319171242416,130750.162319171242416,22105.162319171242416,0.819480653984300
229,4604,5.270000000000000,2341,1.000000000000000,SUWANNEE,494400,16554,2005,100,2341.000000000000000,0.000000000000000,563.000000000000000,0.000000000000000,19,403686.000000000000000,6.823804788444772,-82.643991000000000,29.825070000000000,01456-010-006,HighSprings_B,True,False,False,0.810000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.819495004388916,369348.161170498351566,385902.161170498351566,-108497.838829501648434,-34337.838829501648434,108497.838829501648434,34337.838829501648434,0.780546442496963
230,4613,2.120000000000000,2088,1.000000000000000,SUWANNEE,329600,18719,2009,100,1588.000000000000000,0.000000000000000,36.000000000000000,0.000000000000000,15,261441.000000000000000,2.745059990797518,-82.654917999999995,29.821318999999999,01457-004-001,HighSprings_B,True,False,False,0.850000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.716056850256763,333052.978284777898807,351771.978284777898807,22171.978284777898807,71611.978284777898807,22171.978284777898807,71611.978284777898807,1.067269351592166
242,4825,0.970000000000000,1365,1.000000000000000,SUWANNEE,215700,11272,1994,100,1365.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,172073.000000000000000,1.255994429751694,-82.605964999999998,29.809258000000000,01484-007-000,HighSprings_B,False,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.092555327378538,178537.747311682760483,189809.747311682760483,-25890.252688317239517,6464.747311682760483,25890.252688317239517,6464.747311682760483,0.879971012107940
243,4834,0.420000000000000,1112,1.000000000000000,SUWANNEE,201500,1076,2000,100,1112.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,24,170199.000000000000000,0.543832639686301,-82.606449999999995,29.807822000000002,01484-016-000,HighSprings_B,False,False,False,0.760000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.999566906635003,162684.318660462537082,163760.318660462537082,-37739.681339537462918,-7514.681339537462918,37739.681339537462918,7514.681339537462918,0.812706296081700
292,5235,2.030000000000000,840,1.000000000000000,SUWANNEE,225200,4604,2010,100,840.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14,186816.000000000000000,2.628524425150453,-82.564992000000004,29.810452999999999,01516-005-000,HighSprings_B,False,False,True,0.860000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.104909413507279,180757.098822039784864,185361.098822039784864,-39838.901177960215136,-6058.901177960215136,39838.901177960215136,6058.901177960215136,0.823095465461988
326,5587,1.060000000000000,1528,1.000000000000000,SUWANNEE,304300,13876,2012,100,3056.000000000000000,0.000000000000000,160.000000000000000,0.000000000000000,12,244778.999999999970896,1.372529995398759,-82.605840999999998,29.786149999999999,01531-007-004,HighSprings_B,False,False,False,0.880000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.471907025386830,260903.797234591445886,274779.797234591445886,-29520.202765408554114,16124.797234591474989,29520.202765408554114,16124.797234591474989,0.902989803597080
328,5681,2.000000000000000,616,0.900000000000000,SUWANNEE,80800,7152,1994,100,616.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,61528.000000000000000,2.589679236601432,-82.629015999999993,29.786052999999999,01549-001-000,HighSprings_B,False,False,True,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.574623404633659,106364.101243740093196,113516.101243740093196,32716.101243740093196,44836.101243740093196,32716.101243740093196,44836.101243740093196,1.404902243115595
330,5805,0.630000000000000,1758,1.150000000000000,SUWANNEE,349200,1115,2021,100,1758.000000000000000,0.000000000000000,221.000000000000000,420.000000000000000,3,295705.000000000000000,0.815748959529451,-82.610332999999997,29.775635000000001,01571-008-018,HighSprings_B,True,False,False,0.970000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.946448507371517,419344.688948672206607,420459.688948672206607,71259.688948672206607,123639.688948672206607,71259.688948672206607,123639.688948672206607,1.204065546817503
331,5849,4.140000000000000,1274,1.000000000000000,SUWANNEE,259700,14546,1994,100,1274.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,206198.999999999970896,5.360636019764963,-82.620936000000000,29.784741000000000,01622-000-000,HighSprings_B,False,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.168371182331811,192600.077807651599869,207146.077807651599869,-52553.922192348400131,-13598.922192348371027,52553.922192348400131,13598.922192348371027,0.797636033144596
332,5860,4.820000000000000,1276,1.000000000000000,SUWANNEE,351400,2408,2004,100,1276.000000000000000,0.000000000000000,528.000000000000000,0.000000000000000,20,296282.000000000000000,6.241126960209451,-82.617594999999994,29.775603000000000,01628-001-000,HighSprings_B,False,False,False,0.800000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.381862090258384,238437.402192354464205,240845.402192354464205,-110554.597807645535795,-57844.597807645535795,110554.597807645535795,57844.597807645535795,0.685388167878072
333,5865,7.460000000000000,2165,1.000000000000000,SUWANNEE,212100,6360,1994,100,2165.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,173925.000000000000000,9.659503552523340,-82.624028999999993,29.776411000000000,01629-003-000,HighSprings_B,False,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.532928244448993,277320.247201096557546,283680.247201096557546,71580.247201096557546,103395.247201096557546,71580.247201096557546,103395.247201096557546,1.337483485153685
334,5866,9.080000000000000,1682,1.000000000000000,SUWANNEE,350000,216,2004,100,3364.000000000000000,0.000000000000000,610.000000000000000,868.000000000000000,20,297284.000000000000000,11.757143734170500,-82.621789000000007,29.776441999999999,01629-003-001,HighSprings_B,False,False,False,0.800000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.744287615846302,342589.294251015176997,342805.294251015176997,-7194.705748984823003,45305.294251015176997,7194.705748984823003,45305.294251015176997,0.979443697860043
335,5909,3.000000000000000,2592,1.000000000000000,SUWANNEE,486600,9186,2006,100,2592.000000000000000,0.000000000000000,72.000000000000000,484.000000000000000,18,404424.000000000000000,3.884518854902148,-82.606724999999997,29.780825000000000,01633-010-003,HighSprings_B,True,False,False,0.820000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.968206245306501,428568.663321534055285,437754.663321534055285,-48845.336678465944715,24144.663321534055285,48845.336678465944715,24144.663321534055285,0.899619119033157
336,5928,2.500000000000000,1562,1.000000000000000,SUWANNEE,145600,22013,1994,100,1562.000000000000000,0.000000000000000,120.000000000000000,0.000000000000000,30,101747.000000000000000,3.237099045751790,-82.590999999999994,29.771553999999998,01636-003-000,HighSprings_B,False,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.282124517988930,215803.708810109266778,237816.708810109266778,92216.708810109266778,114056.708810109266778,92216.708810109266778,114056.708810109266778,1.633356516552948
337,5935,6.640000000000000,1878,1.000000000000000,SUWANNEE,465300,11035,1994,100,3756.000000000000000,0.000000000000000,252.000000000000000,0.000000000000000,30,384470.000000000000000,8.597735065516751,-82.587501000000003,29.774069999999998,01636-005-000,HighSprings_B,False,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.476099656242681,261999.966856857266976,273034.966856857296079,-192265.033143142703921,-122470.033143142733024,192265.033143142703921,122470.033143142733024,0.586793395351080
338,5952,5.100000000000000,1712,1.000000000000000,SUWANNEE,341900,10268,2009,100,1712.000000000000000,0.000000000000000,102.000000000000000,0.000000000000000,15,280347.000000000000000,6.603682053333650,-82.567267999999999,29.783268000000000,01639-009-000,HighSprings_B,False,False,False,0.850000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.622633902814265,303347.381932080723345,313615.381932080723345,-28284.618067919276655,23000.381932080723345,28284.618067919276655,23000.381932080723345,0.917272248997019
339,5968,1.000000000000000,1248,1.000000000000000,SUWANNEE,259500,200,1994,100,2112.000000000000000,0.000000000000000,624.000000000000000,0.000000000000000,30,220375.000000000000000,1.294839618300716,-82.560642000000001,29.781583000000001,01640-002-009,HighSprings_B,False,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.085173587365363,177224.680400192213710,177424.680400192213710,-82075.319599807786290,-43150.319599807786290,82075.319599807786290,43150.319599807786290,0.683717458189565
340,5983,4.030000000000000,1862,1.000000000000000,SUWANNEE,383000,6820,1999,100,3724.000000000000000,0.000000000000000,160.000000000000000,1144.000000000000000,25,318730.000000000000000,5.218203661751885,-82.561207999999993,29.771802999999998,01640-010-001,HighSprings_B,False,False,False,0.750000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.660193169490050,314957.557139534386806,321777.557139534386806,-61222.442860465613194,-3772.442860465613194,61222.442860465613194,3772.442860465613194,0.840150279737688
345,6052,5.000000000000000,3348,1.150000000000000,SUWANNEE,743600,34241,2009,100,3347.500000000000000,0.000000000000000,1089.500000000000000,682.000000000000000,15,597819.000000000000000,6.474198091503579,-82.564796000000001,29.770142000000000,01643-010-002,HighSprings_B,True,False,False,0.850000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.363988504838634,636658.385905288159847,670899.385905288159847,-72700.614094711840153,38839.385905288159847,72700.614094711840153,38839.385905288159847,0.902231557161496
346,6056,6.030000000000000,2516,1.150000000000000,SUWANNEE,498900,12699,2005,100,2516.000000000000000,0.000000000000000,330.000000000000000,484.000000000000000,19,411366.000000000000000,7.807882898353316,-82.565366999999995,29.767410000000002,01643-010-006,HighSprings_B,True,False,False,0.810000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.135914693882253,506821.775866259587929,519520.775866259587929,20620.775866259587929,95455.775866259587929,20620.775866259587929,95455.775866259587929,1.041332483195549
347,6103,1.260000000000000,1272,1.000000000000000,SUWANNEE,320000,5416,2010,100,1056.000000000000000,0.000000000000000,304.000000000000000,0.000000000000000,14,266584.000000000000000,1.631497919058902,-82.591836999999998,29.768546000000001,01656-004-001,HighSprings_B,True,False,False,0.860000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.405887133637997,244235.238887835032074,249651.238887835032074,-70348.761112164967926,-22348.761112164967926,70348.761112164967926,22348.761112164967926,0.780160121524484
348,6117,6.260000000000000,1526,1.000000000000000,SUWANNEE,387500,35878,2005,100,1526.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19,293497.000000000000000,8.105696010562481,-82.603594000000001,29.769053000000000,01656-008-012,HighSprings_B,False,False,False,0.810000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.481989865847602,263547.755502915417310,299425.755502915417310,-88074.244497084582690,-29949.244497084582690,88074.244497084582690,29949.244497084582690,0.772711627104298
349,6119,6.000000000000000,1775,1.000000000000000,SUWANNEE,390300,320,2002,100,1775.000000000000000,0.000000000000000,140.000000000000000,500.000000000000000,22,331435.000000000000000,7.769037709804295,-82.599936000000000,29.770593999999999,01656-008-014,HighSprings_B,False,False,False,0.780000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.691368375080391,324931.079283593513537,325251.079283593513537,-65048.920716406486463,-6503.920716406486463,65048.920716406486463,6503.920716406486463,0.833336098600035
