OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Jonesville,Lincoln_Estates,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
2841,81146,0.280000000000000,1167,3.000000000000000,GAINESVILLE,266800,1999,100,1050.000000000000000,1950,2024,0,0.000000000000000,207.000000000000000,0.000000000000000,24,73,0,0,1.000000000000000,1528,225251.999999999970896,0.331495149314577,-82.318016000000000,29.664576000000000,10232-000-000,MidtownEast_A,True,0.760000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.274866208950138,214243.009670045663370,215771.009670045663370,-51028.990329954336630,-11008.990329954307526,51028.990329954336630,11008.990329954307526,0.808736917803769
2851,81944,0.240000000000000,1909,3.000000000000000,GAINESVILLE,247500,1994,100,1909.000000000000000,1957,2024,0,0.000000000000000,0.000000000000000,0.000000000000000,29,66,0,0,2.000000000000000,3411,206963.999999999970896,0.284138699412495,-82.313479000000001,29.671229000000000,10607-010-000,MidtownEast_A,True,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.480965040797887,263277.803511688078288,266688.803511688078288,19188.803511688078288,56313.803511688107392,19188.803511688078288,56313.803511688107392,1.077530519239144
3530,81190,0.270000000000000,1908,3.000000000000000,GAINESVILLE,318500,1999,100,1908.000000000000000,1955,2024,0,0.000000000000000,50.000000000000000,0.000000000000000,24,68,0,0,2.000000000000000,4525,266200.000000000000000,0.319656036839057,-82.318010000000001,29.671557000000000,10246-030-000,MidtownEast_A,True,0.760000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.573581871645562,288826.624441381660290,293351.624441381660290,-25148.375558618339710,22626.624441381660290,25148.375558618339710,22626.624441381660290,0.921041207037305
3683,81049,0.240000000000000,1487,3.000000000000000,GAINESVILLE,268000,2000,100,1487.000000000000000,1954,2022,0,0.000000000000000,93.000000000000000,0.000000000000000,21,67,0,0,1.000000000000000,1700,226100.000000000000000,0.284138699412495,-82.316275000000005,29.668037999999999,10135-000-000,MidtownEast_A,True,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.422622359090166,248356.963472674571676,250056.963472674571676,-17943.036527325428324,22256.963472674571676,17943.036527325428324,22256.963472674571676,0.933048371166696
4141,80977,0.260000000000000,1355,3.000000000000000,GAINESVILLE,306000,2012,100,1355.000000000000000,1956,2022,0,0.000000000000000,115.000000000000000,0.000000000000000,9,65,0,0,2.000000000000000,1689,258411.000000000000000,0.307816924363536,-82.315942000000007,29.664843000000001,10082-012-000,MidtownEast_A,True,0.910000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.551434129618727,282500.084764164290391,284189.084764164290391,-21810.915235835709609,24089.084764164290391,21810.915235835709609,24089.084764164290391,0.928722499229295
4142,81087,0.340000000000000,1878,3.000000000000000,GAINESVILLE,346500,2010,100,1878.000000000000000,1950,2022,0,0.000000000000000,222.000000000000000,0.000000000000000,11,71,0,0,2.000000000000000,1809,292716.000000000000000,0.402529824167701,-82.315388999999996,29.668431000000002,10173-000-000,MidtownEast_A,True,0.890000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.733436276830716,338891.839127196173649,340700.839127196173649,-5799.160872803826351,46175.839127196173649,5799.160872803826351,46175.839127196173649,0.983263604984693
4143,81138,0.280000000000000,1299,3.000000000000000,GAINESVILLE,226000,1987,100,1299.000000000000000,1950,2022,0,0.000000000000000,135.000000000000000,0.000000000000000,30,71,0,0,1.000000000000000,762,191338.000000000000000,0.331495149314577,-82.318016000000000,29.665151000000002,10224-000-000,MidtownEast_A,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.256813755502286,210410.098528488189913,211172.098528488189913,-14827.901471511810087,19072.098528488189913,14827.901471511810087,19072.098528488189913,0.934389816497735
4298,80914,0.110000000000000,1412,3.000000000000000,GAINESVILLE,95100,2020,100,1412.000000000000000,1953,2024,0,0.000000000000000,0.000000000000000,0.000000000000000,3,70,0,0,2.000000000000000,451,80384.000000000000000,0.130230237230727,-82.323331999999994,29.665512000000000,10064-002-000,MidtownEast_A,False,0.970000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.501649330140935,268780.228473816125188,269231.228473816125188,174131.228473816125188,188396.228473816125188,174131.228473816125188,188396.228473816125188,2.831032896675248
4634,80566,0.110000000000000,696,2.000000000000000,GAINESVILLE,108200,1994,100,696.000000000000000,1920,2024,0,0.000000000000000,48.000000000000000,0.000000000000000,29,103,0,0,1.000000000000000,0,91970.000000000000000,0.130230237230727,-82.323611999999997,29.662275999999999,09894-000-000,MidtownEast_A,True,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.680240371636804,118212.646620595784043,118212.646620595784043,10012.646620595784043,26242.646620595784043,10012.646620595784043,26242.646620595784043,1.092538323665395
4804,81154,0.270000000000000,1346,3.000000000000000,GAINESVILLE,238800,1987,100,1082.000000000000000,1950,2022,0,0.000000000000000,264.000000000000000,0.000000000000000,30,71,0,0,1.000000000000000,2250,200730.000000000000000,0.319656036839057,-82.318015000000003,29.664003000000001,10240-000-000,MidtownEast_A,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.276747284715317,214646.396284840564476,216896.396284840564476,-21903.603715159435524,13916.396284840564476,21903.603715159435524,13916.396284840564476,0.908276366351929
5345,81977,0.240000000000000,1170,3.000000000000000,GAINESVILLE,264900,1999,100,1170.000000000000000,1959,2024,0,0.000000000000000,68.000000000000000,0.000000000000000,24,64,0,0,2.000000000000000,280,224884.999999999970896,0.284138699412495,-82.313477000000006,29.670224999999999,10608-017-000,MidtownEast_A,True,0.760000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.302074776976880,220152.282041152211605,220432.282041152211605,-44467.717958847788395,-4732.717958847759292,44467.717958847788395,4732.717958847759292,0.832133945040212
5648,82121,0.350000000000000,1505,3.000000000000000,GAINESVILLE,246200,1987,100,1125.000000000000000,1959,2022,0,0.000000000000000,452.000000000000000,0.000000000000000,30,62,0,0,2.000000000000000,2632,206638.000000000000000,0.414368936643221,-82.314390000000003,29.671648000000001,10623-009-000,MidtownEast_A,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.406397290725451,244359.869013727788115,246991.869013727788115,791.869013727788115,37721.869013727788115,791.869013727788115,37721.869013727788115,1.003216364799869
5728,81157,0.270000000000000,1189,3.000000000000000,GAINESVILLE,280100,1980,100,999.000000000000000,1950,2023,0,0.000000000000000,210.000000000000000,513.000000000000000,30,72,0,0,1.000000000000000,2932,235152.999999999970896,0.319656036839057,-82.317128999999994,29.663715000000000,10243-000-000,MidtownEast_A,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.304239995598008,220629.476290217833593,223561.476290217833593,-56538.523709782166407,-14523.523709782137303,56538.523709782166407,14523.523709782137303,0.798148790754080
