OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Gainesvilleish_Region,Haile,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_B,WaldoRural_C,West_Outer_Gainesville,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
5717,75155,0.260000000000000,972,1.000000000000000,GAINESVILLE,209800,326,1994,100,1944.000000000000000,0.000000000000000,128.000000000000000,0.000000000000000,30,178004.000000000000000,0.336658300758186,-82.302718999999996,29.680377000000000,08197-003-099,MidtownEast_C,True,False,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.770183680348666,129337.905400681614992,129663.905400681614992,-80136.094599318385008,-48666.094599318385008,80136.094599318385008,48666.094599318385008,0.618035774073792
5718,75161,0.200000000000000,1269,1.000000000000000,GAINESVILLE,200700,1756,1994,100,945.000000000000000,0.000000000000000,372.000000000000000,0.000000000000000,30,168839.000000000000000,0.258967923660143,-82.302727000000004,29.679106999999998,08197-004-005,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.924704310304431,150950.056631838553585,152706.056631838553585,-47993.943368161446415,-17888.943368161446415,47993.943368161446415,17888.943368161446415,0.760867247791921
5719,75167,0.200000000000000,1326,1.000000000000000,GAINESVILLE,245200,2247,1999,100,1058.000000000000000,0.000000000000000,292.000000000000000,0.000000000000000,25,206173.000000000000000,0.258967923660143,-82.302363999999997,29.679311999999999,08197-004-011,MidtownEast_C,True,False,False,0.750000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.028635747652235,167482.768051782564726,169729.768051782564726,-75470.231948217435274,-38690.231948217435274,75470.231948217435274,38690.231948217435274,0.692209494501560
5720,75168,0.200000000000000,1269,1.000000000000000,GAINESVILLE,201500,6720,1994,100,945.000000000000000,0.000000000000000,372.000000000000000,0.000000000000000,30,164555.000000000000000,0.258967923660143,-82.302363000000000,29.679518000000002,08197-004-012,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.924704310304431,150950.056631838553585,157670.056631838553585,-43829.943368161446415,-13604.943368161446415,43829.943368161446415,13604.943368161446415,0.782481670629472
5721,75170,0.200000000000000,1208,1.000000000000000,GAINESVILLE,200200,798,2010,100,1208.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14,169371.999999999970896,0.258967923660143,-82.302361000000005,29.679931000000000,08197-004-014,MidtownEast_C,True,False,False,0.860000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.077729647754573,175910.328628617891809,176708.328628617891809,-23491.671371382108191,6538.328628617920913,23491.671371382108191,6538.328628617920913,0.882658984158931
5722,75173,0.260000000000000,975,1.000000000000000,GAINESVILLE,206100,4778,1994,100,975.000000000000000,0.000000000000000,156.000000000000000,598.000000000000000,30,170407.000000000000000,0.336658300758186,-82.301834999999997,29.681173000000001,08197-004-017,MidtownEast_C,True,False,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.899549274912284,147200.263434562279144,151978.263434562279144,-54121.736565437720856,-23206.736565437720856,54121.736565437720856,23206.736565437720856,0.737400598906173
5723,75185,0.200000000000000,1269,1.000000000000000,GAINESVILLE,203900,387,2005,100,945.000000000000000,0.000000000000000,372.000000000000000,0.000000000000000,19,172928.000000000000000,0.258967923660143,-82.301846999999995,29.678664999999999,08197-004-029,MidtownEast_C,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.091507840330371,178350.829247981251683,178737.829247981251683,-25162.170752018748317,5422.829247981251683,25162.170752018748317,5422.829247981251683,0.876595533339781
5724,75194,0.250000000000000,1269,1.000000000000000,GAINESVILLE,133800,435,1994,100,945.000000000000000,0.000000000000000,372.000000000000000,0.000000000000000,30,113295.000000000000000,0.323709904575179,-82.303008000000005,29.677296999999999,08197-004-038,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.941518730826713,153509.653122973541031,153944.653122973541031,20144.653122973541031,40214.653122973541031,20144.653122973541031,40214.653122973541031,1.150557945612657
5725,75202,0.200000000000000,1391,1.000000000000000,GAINESVILLE,224200,927,1994,100,1215.000000000000000,0.000000000000000,288.000000000000000,0.000000000000000,30,189643.000000000000000,0.258967923660143,-82.304939000000005,29.677263000000000,08197-004-046,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.979284435323621,159417.915970436763018,160344.915970436763018,-63855.084029563236982,-30225.084029563236982,63855.084029563236982,30225.084029563236982,0.715186957941288
5726,75231,0.270000000000000,1233,1.000000000000000,GAINESVILLE,230600,1519,2008,100,980.000000000000000,0.000000000000000,298.000000000000000,0.000000000000000,16,194491.000000000000000,0.349606696941193,-82.299667999999997,29.680640000000000,08197-007-025,MidtownEast_C,True,False,False,0.840000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.135941048046963,186454.225459816661896,187973.225459816661896,-42626.774540183338104,-8036.774540183338104,42626.774540183338104,8036.774540183338104,0.815148419166594
5727,75257,0.280000000000000,975,1.000000000000000,GAINESVILLE,220000,272,1999,100,975.000000000000000,0.000000000000000,60.000000000000000,0.000000000000000,25,186728.000000000000000,0.362555093124200,-82.300484999999995,29.678581000000001,08197-007-051,MidtownEast_C,True,False,True,0.750000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.849979180978597,140081.430787069402868,140353.430787069402868,-79646.569212930597132,-46646.569212930597132,79646.569212930597132,46646.569212930597132,0.637970139941225
5728,75274,0.250000000000000,1176,1.000000000000000,GAINESVILLE,95600,216,1999,100,1176.000000000000000,0.000000000000000,68.000000000000000,308.000000000000000,25,81044.000000000000000,0.323709904575179,-82.300918999999993,29.678644999999999,08197-007-068,MidtownEast_C,True,False,False,0.750000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.071245494146375,174773.389065384835703,174989.389065384835703,79389.389065384835703,93729.389065384835703,79389.389065384835703,93729.389065384835703,1.830432940014486
5729,75287,0.230000000000000,975,1.000000000000000,GAINESVILLE,196400,192,1994,100,975.000000000000000,0.000000000000000,64.000000000000000,0.000000000000000,30,166748.000000000000000,0.297813112209165,-82.302896000000004,29.681151000000000,08197-008-010,MidtownEast_C,True,False,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.756863021654326,127626.463380551358568,127818.463380551358568,-68581.536619448641432,-39121.536619448641432,68581.536619448641432,39121.536619448641432,0.650806840023174
5730,75469,0.250000000000000,984,1.000000000000000,GAINESVILLE,197000,180,2010,100,984.000000000000000,0.000000000000000,144.000000000000000,0.000000000000000,14,167270.000000000000000,0.323709904575179,-82.312436000000005,29.677339000000000,08201-006-000,MidtownEast_C,True,False,True,0.860000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.011101932531018,164571.751353646221105,164751.751353646221105,-32248.248646353778895,-2698.248646353778895,32248.248646353778895,2698.248646353778895,0.836303306363686
5731,75485,0.210000000000000,962,1.000000000000000,GAINESVILLE,203400,4142,2003,100,962.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,21,168747.999999999970896,0.271916319843150,-82.312433999999996,29.676860000000001,08201-022-000,MidtownEast_C,True,False,True,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.843454407096681,139170.406472016387852,143312.406472016387852,-60087.593527983612148,-29577.593527983583044,60087.593527983612148,29577.593527983583044,0.704584102615616
5732,75497,0.210000000000000,1232,1.000000000000000,GAINESVILLE,221500,985,1994,100,1232.000000000000000,0.000000000000000,156.000000000000000,0.000000000000000,30,187289.999999999970896,0.271916319843150,-82.310715999999999,29.676394999999999,08201-034-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.902506219676271,147636.170641936216271,148621.170641936216271,-72878.829358063783729,-39653.829358063754626,72878.829358063783729,39653.829358063754626,0.670975939692714
5733,75529,0.210000000000000,1604,1.000000000000000,GAINESVILLE,190700,3974,1994,100,1373.000000000000000,0.000000000000000,323.000000000000000,0.000000000000000,30,158121.000000000000000,0.271916319843150,-82.310715999999999,29.675481999999999,08201-066-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.072137023869724,174929.274214383825893,178903.274214383825893,-11796.725785616174107,16808.274214383825893,11796.725785616174107,16808.274214383825893,0.938139875272070
5734,75533,0.210000000000000,1122,1.000000000000000,GAINESVILLE,197800,756,2008,100,1122.000000000000000,0.000000000000000,48.000000000000000,0.000000000000000,16,167374.000000000000000,0.271916319843150,-82.312432999999999,29.675490000000000,08201-070-000,MidtownEast_C,True,False,False,0.840000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.042815574598631,169874.562257352488814,170630.562257352488814,-27169.437742647511186,2500.562257352488814,27169.437742647511186,2500.562257352488814,0.862641871877414
5735,75542,0.210000000000000,1040,1.000000000000000,GAINESVILLE,199100,669,2004,100,1040.000000000000000,0.000000000000000,70.000000000000000,0.000000000000000,20,168566.000000000000000,0.271916319843150,-82.310715000000002,29.675253999999999,08201-079-000,MidtownEast_C,True,False,False,0.800000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.943327943297938,153787.636091157735791,154456.636091157735791,-44643.363908842264209,-14778.363908842264209,44643.363908842264209,14778.363908842264209,0.775774164194665
5736,75543,0.210000000000000,988,1.000000000000000,GAINESVILLE,169000,711,1994,100,988.000000000000000,0.000000000000000,64.000000000000000,0.000000000000000,30,142939.000000000000000,0.271916319843150,-82.310175000000001,29.675252000000000,08201-080-000,MidtownEast_C,True,False,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.758205339292129,127797.893664604009246,128508.893664604009246,-40491.106335395990754,-15141.106335395990754,40491.106335395990754,15141.106335395990754,0.760407654820142
5737,75547,0.210000000000000,1053,1.000000000000000,GAINESVILLE,227900,180,2000,100,1053.000000000000000,0.000000000000000,54.000000000000000,0.000000000000000,24,193535.000000000000000,0.271916319843150,-82.311575000000005,29.675030000000000,08201-084-000,MidtownEast_C,True,False,False,0.760000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.890164171175376,145825.236171585944248,146005.236171585944248,-81894.763828414055752,-47709.763828414055752,81894.763828414055752,47709.763828414055752,0.640654831819157
5738,75558,0.210000000000000,1515,1.000000000000000,GAINESVILLE,271500,1400,1995,100,1515.000000000000000,0.000000000000000,52.000000000000000,0.000000000000000,29,229375.000000000000000,0.271916319843150,-82.310715000000002,29.674797999999999,08201-095-000,MidtownEast_C,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.037198563749641,168923.049827753246063,170323.049827753246063,-101176.950172246753937,-60451.950172246753937,101176.950172246753937,60451.950172246753937,0.627340883343474
5739,75570,0.210000000000000,1208,1.000000000000000,GAINESVILLE,212200,325,2000,100,1208.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,24,180045.000000000000000,0.271916319843150,-82.312432000000001,29.674347999999998,08201-107-000,MidtownEast_C,True,False,False,0.760000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.940133812636413,153297.201959673868259,153622.201959673868259,-58577.798040326131741,-26747.798040326131741,58577.798040326131741,26747.798040326131741,0.723950056360386
5740,75574,0.210000000000000,1040,0.900000000000000,GAINESVILLE,182200,636,2004,100,1040.000000000000000,0.000000000000000,344.000000000000000,0.000000000000000,20,154234.000000000000000,0.271916319843150,-82.310715000000002,29.674340999999998,08201-111-000,MidtownEast_C,True,False,False,0.800000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.853186302918360,140531.410200831713155,141167.410200831713155,-41032.589799168286845,-13702.589799168286845,41032.589799168286845,13702.589799168286845,0.774793689356925
5741,75589,0.180000000000000,1315,1.000000000000000,GAINESVILLE,136300,2429,1994,100,1125.000000000000000,0.000000000000000,229.000000000000000,0.000000000000000,30,113426.000000000000000,0.233071131294129,-82.312285000000003,29.681228000000001,08202-006-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.934577082457885,152447.733091678703204,154876.733091678703204,18576.733091678703204,39021.733091678703204,18576.733091678703204,39021.733091678703204,1.136292979396029
5742,75598,0.210000000000000,1458,1.000000000000000,GAINESVILLE,194500,5124,1994,100,1458.000000000000000,0.000000000000000,111.000000000000000,0.000000000000000,30,160201.000000000000000,0.271916319843150,-82.313238999999996,29.680962000000001,08202-015-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.003791612735004,163373.065946908405749,168497.065946908405749,-26002.934053091594251,3172.065946908405749,26002.934053091594251,3172.065946908405749,0.866308822349144
5743,75599,0.320000000000000,1540,1.000000000000000,GAINESVILLE,265200,364,1997,100,1540.000000000000000,0.000000000000000,76.000000000000000,0.000000000000000,27,225056.000000000000000,0.414348677856229,-82.312894000000000,29.680952999999999,08202-016-000,MidtownEast_C,True,False,False,0.730000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.114079089654208,182422.205456548923394,182786.205456548923394,-82413.794543451076606,-42633.794543451076606,82413.794543451076606,42633.794543451076606,0.689239085431934
5744,75610,0.190000000000000,1518,1.000000000000000,GAINESVILLE,266800,2680,2008,100,3036.000000000000000,0.000000000000000,70.000000000000000,0.000000000000000,16,224099.999999999970896,0.246019527477136,-82.314026999999996,29.680569999999999,08202-027-000,MidtownEast_C,True,False,False,0.840000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.225591706508823,203942.160672253870871,206622.160672253870871,-60177.839327746129129,-20157.839327746100025,60177.839327746129129,20157.839327746100025,0.774445879581161
5745,75614,0.220000000000000,1620,1.000000000000000,GAINESVILLE,274900,660,2005,100,1256.000000000000000,0.000000000000000,749.000000000000000,0.000000000000000,19,233005.000000000000000,0.284864716026157,-82.312370000000001,29.680492000000001,08202-031-000,MidtownEast_C,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.255923111136212,210222.781388528906973,210882.781388528906973,-64017.218611471093027,-22782.218611471093027,64017.218611471093027,22782.218611471093027,0.767125432479188
5746,75619,0.190000000000000,1266,1.000000000000000,GAINESVILLE,221500,1044,1998,100,3798.000000000000000,0.000000000000000,105.000000000000000,0.000000000000000,26,187231.000000000000000,0.246019527477136,-82.310699999999997,29.680342000000000,08202-036-000,MidtownEast_C,True,False,False,0.740000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.971888433526184,158243.210195166553603,159287.210195166553603,-62212.789804833446397,-28987.789804833446397,62212.789804833446397,28987.789804833446397,0.719129617133935
5747,75622,0.180000000000000,1490,1.000000000000000,GAINESVILLE,192500,180,1994,100,1490.000000000000000,0.000000000000000,54.000000000000000,0.000000000000000,30,163445.000000000000000,0.233071131294129,-82.311869000000002,29.680326999999998,08202-039-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.999397867591966,162656.820983075071126,162836.820983075071126,-29663.179016924928874,-788.179016924928874,29663.179016924928874,788.179016924928874,0.845905563548442
5748,75630,0.180000000000000,1784,1.000000000000000,GAINESVILLE,213400,3557,1994,100,1784.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,177833.000000000000000,0.233071131294129,-82.313196000000005,29.680126999999999,08202-047-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.075830425576793,175576.552888658392476,179133.552888658392476,-34266.447111341607524,-2256.447111341607524,34266.447111341607524,2256.447111341607524,0.839426208475438
5749,75633,0.180000000000000,1496,1.000000000000000,GAINESVILLE,178700,693,1994,100,1291.000000000000000,0.000000000000000,289.000000000000000,0.000000000000000,30,151202.000000000000000,0.233071131294129,-82.311869999999999,29.680119999999999,08202-050-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.016412893104512,165448.110531213140348,166141.110531213140348,-12558.889468786859652,14246.110531213140348,12558.889468786859652,14246.110531213140348,0.929720819984405
