#,ML Number,Status,Address,City,Zip,Legal Subdivision Name,Heated Area,Tax ID,Current Price,Beds,Full Baths,Half Baths,Year Built,Pool,Property Style,Ownership,Tax,CDOM,ADOM,Days to Contract,Sold Terms,Close Date,LP / SqFt,SP/SqFt,SP / LP,List Office,List Agent,List Agent ID,Selling Office ID,LSC List Side,List Office Primary Board ID,cleaning
1,GC428325,SLD,816 NW 6th AVE,Gainesville,32601,Brown Addn,860,13786-000-000,"$45,000",2,1,0,1985.0,,Single Family Residence,,$600.00,720,720,6,Cash,08/24/2021,$58.14,$52.33,0.9,Bosshardt Realty Services LLC,Davonda Brown,259500401,259500004.0,Gainesville-Alachua,Ocala - Marion,True
1,GC441772,SLD,22618 SE 62nd AVE,Hawthorne,32640,Lake Breeze Ests,"1,316",19558-027-000,"$45,500",3,2,0,1973.0,,Single Family Residence,,"$1,867.00",29,29,6,Cash,03/19/2021,$30.32,$34.57,1.14,"Trevor Waters Realty,Inc",Trevor Waters,270519969,270519968.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC443752,SLD,1821 SE 6th AVE,Gainesville,32641,New Gainesville,528,11336-002-000,"$48,000",2,1,0,1950.0,,Single Family Residence,,$593.00,34,34,23,Cash,05/26/2021,$142.05,$90.91,0.64,Bosshardt Realty Services LLC,Jaleesa N Green,259506754,259500004.0,Gainesville-Alachua,Ocala - Marion,True
1,GC447842,SLD,219 SE 48 ST,Gainesville,32641,Out of Area,"1,360",10871016000,"$50,000",3,1,0,1952.0,,Single Family Residence,,$867.00,43,43,43,Cash,11/12/2021,$44.04,$36.76,0.83,COLDWELL BANKER MM PARRISH,Donavaun Horne,259505227,259500037.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC439673,SLD,1315 NE 3rd AVE,Gainesville,32641,Not In Subdivision,832,11501-000-000,"$55,000",3,1,0,1957.0,,Single Family Residence,,$429.00,184,184,223,Cash,07/15/2021,$84.01,$66.11,0.79,Parker Real Estate Service LLC,Joseph Parker,259500807,271501036.0,Gainesville-Alachua,Gainesville-Alachua,True
1,OM604904,SLD,1826 SE 47TH TER,GAINESVILLE,32641,MCNEIL GARDENS,"1,200",16190-010-000,"$55,000",2,1,0,1957.0,,Single Family Residence,Fee Simple,"$1,479.00",196,196,229,Cash,02/25/2021,$74.92,$45.83,0.61,OCALA REALTY WORLD LLC,Elisha Lopez,271514012,271501056.0,Ocala - Marion,Ocala - Marion,True
1,GC442142,SLD,2115 NE 4th AVE,Gainesville,32641,Avondale Estates,682,11128-003-001,"$56,000",2,1,0,1993.0,,Single Family Residence,,"$1,063.00",46,46,13,Cash,04/16/2021,$87.98,$82.11,0.93,Bosshardt Realty Services LLC,Harry Valencia,259505878,259500043.0,Gainesville-Alachua,Ocala - Marion,True
1,GC440997,SLD,1017 NW 40 AVE,Gainesville,32609,Oak Hill(410),640,08080-000-000,"$58,000",1,1,0,1949.0,,Single Family Residence,,$423.00,41,41,18,Cash,03/19/2021,$85.94,$90.63,1.05,Carl Turlington Real Estate,Alicia Phillips,259500736,259504964.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC439153,SLD,124 NE 22 ST,Gainesville,32641,Harper,925,11230-000-000,"$60,000",2,1,0,1954.0,,Single Family Residence,,"$1,492.00",93,93,70,Cash,01/29/2021,$81.08,$64.86,0.8,Watson Realty Corp - NW 23rd Ave.,Richard Barton,259505895,259504964.0,Gainesville-Alachua,Ocala - Marion,True
1,GC444666,SLD,1415 SE 1ST AVE,Gainesville,32601,Lakeway Groves,849,11745-000-000,"$65,000",2,1,0,1946.0,,Single Family Residence,,$946.00,128,128,6,Cash,09/24/2021,$76.56,$76.56,1.0,Your Home Realty,Joni Dowst,259503993,259500043.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC446610,SLD,13406 NW 157TH AVE,Alachua,32615,College Heights,888,03234-023-000,"$65,000",2,1,0,1953.0,,Single Family Residence,,$359.00,105,105,113,Cash,12/06/2021,$84.03,$73.2,0.87,HORIZON REALTY OF ALACHUA INC,Barry MacCallum,259506445,259506003.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC439966,SLD,7208 SE 222nd ST,Hawthorne,32640,Waits Crossing,864,19480-000-000,"$66,000",2,1,0,1920.0,,Single Family Residence,,"$1,076.00",94,94,83,Cash,03/05/2021,$83.33,$76.39,0.92,Watson Realty Corp - NW 23rd Ave.,Heather Surrency-Bristow,271511592,259504964.0,Gainesville-Alachua,Ocala - Marion,True
1,GC441257,SLD,18144 NW 251 TER,High Springs,32643,Avondale,"1,300",01442-001-045,"$68,000",3,1,0,1970.0,,Single Family Residence,,"$1,534.00",7,7,1,Cash,02/09/2021,$58.46,$52.31,0.89,BHGRE Thomas Group,Kelly Potter,259505447,259500004.0,Gainesville-Alachua,Ocala - Marion,True
1,GC442893,SLD,1334 NE 1ST AVE,Gainesville,32641,New Gainesville,"1,328",11509-000-000,"$69,900",2,1,0,1948.0,,Single Family Residence,,"$1,468.00",29,29,8,Cash,04/23/2021,$52.64,$52.64,1.0,Coldwell Banker M.M. Parrish Realtors,Michael Leroy,259503037,259500037.0,Gainesville-Alachua,Pinellas Suncoast,True
1,GC501179,SLD,250 SE 73RD TER,GAINESVILLE,32641,LAKESHORE HOMESITES,884,17940-112-000,"$70,000",3,1,0,1960.0,,Single Family Residence,Fee Simple,"$1,426.95",3,3,4,Cash,12/20/2021,$79.19,$79.19,1.0,GORE-RABELL REAL ESTATE INC,Martha McCullough,259503852,25950341.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC448277,SLD,1918 NE 17 WAY,Gainesville,32641,Seola,960,10740-000-000,"$70,000",2,1,0,1977.0,,Single Family Residence,,"$1,051.00",8,8,8,Cash,10/19/2021,$72.92,$72.92,1.0,Suskin Realty Inc,Marc Suskin,259500193,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC443388,SLD,14195 SW 168th St ST,Archer,32618,Walnut Hill Ests,520,04965-001-008,"$70,000",2,1,0,1960.0,,Single Family Residence,,$900.00,32,32,17,Seller Financing,05/13/2021,$134.62,$134.62,1.0,Costello Realty,Laurie Costello,259503341,259504881.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC446852,SLD,1101 SE 18th TER,Gainesville,32641,Lincoln Estates,910,16116-057-000,"$70,000",2,1,1,1969.0,,Single Family Residence,,$996.00,94,94,94,Cash,12/15/2021,$93.41,$76.92,0.82,Thurmond Realty LLC,Michael Cox,259503981,259504935.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC440300,SLD,410 NW 26 AVE,Gainesville,32609,Belvedere Heights,"1,032",08481-009-000,"$71,400",2,1,0,1978.0,,Single Family Residence,,$486.00,31,31,5,Cash,01/18/2021,$74.13,$69.19,0.93,Smart Choice Realty Corp,Lori Camfferman,283548449,259506526.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC442332,SLD,1214 NE 15th ST,Gainesville,32601,Highland Court,884,10573-125-000,"$71,547",3,1,0,1940.0,,Single Family Residence,,"$1,551.00",50,50,9,Cash,04/29/2021,$73.42,$80.94,1.1,BHHS Florida Realty,Mae Alden,259500512,259500004.0,Gainesville-Alachua,Ocala - Marion,True
1,GC440507,SLD,18223 SE 145TH TER,Hawthorne,32640,Sportsman Haven,"2,064",18354-039-026,"$72,000",3,2,0,1960.0,Private,Single Family Residence,,"$2,731.00",113,113,40,Cash,04/23/2021,$41.18,$34.88,0.85,"Campus To Coast Realty, Inc",Jennifer Lee,259503897,259506544.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC445983,SLD,23562 NW 183rd RD,High Springs,32643,S C Moore Addn,950,01234-000-000,"$74,000",2,1,0,1900.0,,Single Family Residence,,"$1,512.00",76,76,68,Cash,09/21/2021,$94.43,$77.89,0.82,Keller Williams Gainesville Realty Partners,Craig Wilburn-Team Dynamo,259503108,259505361.0,Ocala - Marion,Ocala - Marion,True
1,GC441900,SLD,2109 SE 45th TER,Gainesville,32641,Shady Lawn Estates,672,16189002048,"$74,500",2,1,0,1963.0,,Single Family Residence,,$82.00,49,49,21,Cash,04/14/2021,$116.07,$110.86,0.96,Horizon Realty Of Alachua Inc,Jennifer MacCallum,259506107,259500025.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC443982,SLD,13117 N COUNTY ROAD 225,Gainesville,32609,Monteocha Forest,864,07764-010-003,"$74,900",2,1,0,1993.0,,Single Family Residence,,"$1,498.00",51,51,79,Cash,07/29/2021,$86.69,$86.69,1.0,Coldwell Banker M.M. Parrish Realtors,Michael Leroy,259503037,259500037.0,Gainesville-Alachua,Pinellas Suncoast,True
1,GC439729,SLD,325 NE 18TH ST,Gainesville,32641,New Gainesville,690,11196-000-000,"$75,000",2,1,0,1950.0,,Single Family Residence,,"$1,062.00",98,98,61,Conventional,02/25/2021,$115.80,$108.7,0.94,Suskin Realty Inc,Marc & Leslie Suskin,259500193,259500037.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC422993,SLD,221 SE 13th LN,Gainesville,32653,Norwood Heights,736,15911-000-000,"$75,200",2,1,0,1930.0,,Single Family Residence,,$951.00,"1,014","1,014","1,014",Cash,12/13/2021,$101.90,$102.17,1.0,BOSSHARDT REALTY SERVICES LLC,Davonda Brown,259500401,259500792.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC447571,SLD,2524 NE 5TH PL,Gainesville,32641,Ward Replat,"1,091",11120-014-002,"$77,000",3,1,0,1950.0,,Single Family Residence,,"$2,737.00",31,31,24,Cash,10/01/2021,$82.40,$70.58,0.86,Secure Investments Realty & Management,Tanya Chappell,259500459,25950341.0,Ocala - Marion,Ocala - Marion,True
1,GC439212,SLD,653 NE 16th TER,Gainesville,62641,Rosemary Park,747,10978-000-000,"$78,000",2,1,0,1946.0,,Single Family Residence,,"$1,046.00",101,101,38,FHA,02/08/2021,$100.40,$104.42,1.04,BHHS Florida Realty,Ryan Saylor,259503198,259500004.0,Gainesville-Alachua,Ocala - Marion,True
1,GC440998,SLD,3918 SE 15TH ST,Gainesville,32641,Robinson Heights,"1,652",16259-022-000,"$79,700",3,2,0,1962.0,,Single Family Residence,,"$1,935.00",52,52,50,Other,03/30/2021,$57.51,$48.24,0.84,Florida Homes Realty & Mortgage,Roderick (Rod) Fair,259504316,70002595.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC438849,SLD,305 SE 21St ST,Gainesville,32641,Ward Replat,768,11280-004-000,"$80,000",3,1,0,1956.0,,Single Family Residence,,$680.00,199,177,143,FHA,04/23/2021,$104.04,$104.17,1.0,Miller Real Estate,J.R. Neal,259505677,259500037.0,Gainesville-Alachua,Ocala - Marion,True
1,GC436118,SLD,1623 SE 3 AVE,Gainesville,32641,New Gainesville,"1,356",11692-000-000,"$80,000",5,2,0,1950.0,,Single Family Residence,,"$1,322.00",254,161,164,Cash,01/04/2021,$67.48,$59,0.87,Watson Realty Corp - NW 23rd Ave.,John E Shaer,259506265,70002595.0,Gainesville-Alachua,Ocala - Marion,True
1,GC446658,SLD,225 NW 4th PL,Gainesville,32601,Brush Addn,600,14229-002-000,"$80,500",2,1,0,1930.0,,Single Family Residence,,$810.00,50,50,24,Cash,09/13/2021,$148.33,$134.17,0.9,Sage Real Estate,Michelle Hazen,259504971,259506015.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC500982,SLD,3217 NW 6TH ST,GAINESVILLE,32609,PINE HAVEN,640,08257-000-000,"$81,000",1,1,0,1940.0,,Single Family Residence,Fee Simple,"$1,654.00",9,9,9,"Cash, Private",12/30/2021,$109.22,$126.56,1.16,RIZE REALTY GROUP LLC,Shawn Hicks,259503386,55055.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC448150,SLD,5020 SE HAWTHORNE RD,Gainesville,32641,Green Grove,"1,635",16186-072-000,"$82,570",3,2,0,1965.0,,Single Family Residence,,"$1,306.00",52,52,-1,Cash,07/16/2021,$50.50,$50.5,1.0,First Choice Realty of North Florida LLC,Dawn Johnson,259503557,259505372.0,Tampa,Tampa,True
1,GC445193,SLD,4724 NW 35th ST,Gainesville,32606,Pinebreeze,"1,242",06065-020-004,"$84,000",3,2,0,1983.0,,Single Family Residence,,"$1,869.00",1,1,1,Cash,06/03/2021,$67.63,$67.63,1.0,Out Of Area Firm (See Remarks), Reciprocal- Out Of Area Agent,259500000000000,259500046.0,,Gainesville-Alachua,True
1,GC441093,SLD,926 SE 18th TER,Gainesville,32641,Lincoln Estates,"1,330",16116-081-000,"$85,000",2,1,0,1968.0,,Single Family Residence,,"$1,784.00",21,21,6,Cash,02/16/2021,$71.35,$63.91,0.9,Miller Real Estate,Natalie Thomas,259503920,259504964.0,Ocala - Marion,Ocala - Marion,True
1,O5945124,SLD,1632 E UNIVERSITY AVE,GAINESVILLE,32641,NEW GAINESVILLE REP,768,11537-001-000,"$85,000",2,1,0,1954.0,,Single Family Residence,Fee Simple,"$1,118.00",6,6,6,Cash,06/23/2021,$117.19,$110.68,0.94,OPTIMA ONE REALTY WINTER GARDEN INC.,Chanelle Giglio,261217829,260520233.0,Orlando Regional,Orlando Regional,True
1,GC447118,SLD,2529 SE 11th AVE,Gainesville,32641,Unknown Subdivision,572,16090-001-000,"$87,000",2,1,0,1956.0,,Single Family Residence,,"$1,001.00",21,21,6,Cash,09/01/2021,$157.17,$152.1,0.97,Keller Williams Gainesville Realty Partners,The Pro Team,259505311,259505695.0,Gainesville-Alachua,Ocala - Marion,True
1,GC441895,SLD,12121 NE State Road 26,Gainesville,32641,Burnetts Lake Estates,"1,138",17699-002-000,"$87,500",3,1,0,1965.0,,Single Family Residence,,"$2,103.00",177,177,152,Cash,08/24/2021,$144.99,$76.89,0.53,Century 21 Lakeside Realty,Trey Fields,259505346,259504804.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC441725,SLD,13813 NW 147th AVE,Alachua,32615,Clarks Addn,768,03418-000-000,"$88,000",2,1,0,1950.0,,Single Family Residence,,"$1,054.00",40,40,7,Cash,03/30/2021,$130.08,$114.58,0.88,"Gator Homes Realty, LLC",Katie M Heysel,259505865,70002595.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC440908,SLD,2811 SW Archer RD Unit#183,Gainesville,32608,Brandywine -Condo,876,06770-183-000,"$89,000",2,1,0,1985.0,"Private, Community",Single Family Residence,,"$1,071.00",39,39,21,Cash,02/26/2021,$105.59,$101.6,0.96,"Charles Rutenberg Realty, Fort Lauderdale",Ryan Kuhlman,278528848,270534868.0,,Lakeland,True
1,GC447900,SLD,1621 NE 19TH PL,Gainesville,32609,Carol Ests,"1,008",10804-061-000,"$90,000",3,2,0,1964.0,,Single Family Residence,,"$2,081.00",17,17,1,Cash,09/30/2021,$89.29,$89.29,1.0,Suskin Realty Inc,Marc & Leslie Suskin,259500193,259500054.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC443433,SLD,2841 SE 18TH AVE,Gainesville,32641,Kincaid Road,"1,014",16134-018-003,"$90,000",3,1,0,1960.0,,Single Family Residence,,"$1,833.00",23,23,13,Cash,05/12/2021,$78.90,$88.76,1.13,Florida Homes Realty & Mortgage,Victor E Borrero,259506539,259500054.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC446485,SLD,1023 NE 24TH ST,Gainesville,32641,Cedar Grove,"1,012",10856-003-000,"$90,000",3,1,0,1958.0,,Single Family Residence,,"$1,643.00",35,35,13,Cash,08/24/2021,$113.64,$88.93,0.78,First Choice Realty of North Florida LLC,Travis P Cook,279598748,259504921.0,Gainesville-Alachua,Tampa,True
1,GC445091,SLD,529 NW 8th ST,Gainesville,32601,Brown Addn,"1,133",13578-001-000,"$90,000",3,2,0,1930.0,,Single Family Residence,,"$1,593.00",97,97,82,Cash,09/14/2021,$101.41,$79.44,0.78,Sage Real Estate,Megan Atwater,259505974,259506015.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC443133,SLD,503 NW 37TH AVE,Gainesville,32609,Pine Haven,"1,620",08320-004-000,"$90,000",4,2,0,1959.0,,Single Family Residence,,"$2,286.00",111,111,91,Cash,07/29/2021,$85.80,$55.56,0.65,Your Home Realty,Joni Dowst,259503993,259500061.0,Gainesville-Alachua,Gainesville-Alachua,True
1,O5950830,SLD,2008 SE 49TH DR,GAINESVILLE,32641,GREEN GROVE,"1,472",16186-035-000,"$90,000",3,2,0,1960.0,,Single Family Residence,Fee Simple,"$3,798.00",40,40,41,Cash,11/30/2021,$88.25,$61.14,0.69,ORANGE REALTY MASTERS,Bill Jefferson,261010401,51457.0,Orlando Regional,Orlando Regional,True
1,GC444292,SLD,2837 NE 16th TER,Gainesville,32609,Carol Ests North,"1,260",08197-003-075,"$91,000",3,1,0,1965.0,,Single Family Residence,,"$2,127.00",18,18,6,Cash,05/25/2021,$71.43,$72.22,1.01,BHHS Florida Realty,Mae Alden,259500512,259500054.0,Gainesville-Alachua,Ocala - Marion,True
1,GC446169,SLD,935 NE 3rd AVE,Gainesville,32601,Doig Robertson,"1,291",11951-000-000,"$91,000",3,1,0,1907.0,,Single Family Residence,,"$2,080.00",77,77,48,Cash,09/24/2021,$81.25,$70.49,0.87,Sage Real Estate,Megan Atwater,259505974,259506015.0,Gainesville-Alachua,Gainesville-Alachua,True
1,W7840633,SLD,801 SE 20TH ST,GAINESVILLE,32641,LINCOLN ESTATES 3RD ADD,"1,127",16116-100-001,"$91,500",3,1,1,1970.0,,Single Family Residence,Fee Simple,"$1,315.00",4,4,4,Conventional,12/21/2021,$84.07,$81.19,0.97,LISTWITHFREEDOM.COM,Ralph Harvey,276593262,259504874.0,West Pasco,West Pasco,True
1,GC445203,SLD,1039 SE 19TH TER,Gainesville,32641,Lincoln Estates,"1,216",16107-015-000,"$92,500",3,1,0,1963.0,,Single Family Residence,,"$1,751.00",76,76,21,Cash,08/19/2021,$86.27,$76.07,0.88,Exit Realty Producers,Debra Martin-Back,259503274,259500054.0,Ocala - Marion,Ocala - Marion,True
1,GC441600,SLD,550 NW 26TH AVE,Gainesville,32609,Belvedere Heights,682,08481-005-000,"$93,000",2,1,0,1960.0,,Single Family Residence,,$655.00,32,32,1,Cash,03/18/2021,$115.84,$136.36,1.18,Coldwell Banker Vanguard Realty,Kevin Kirby,270534017,259500046.0,Gainesville-Alachua,Orlando Regional,True
1,GC443842,SLD,709 SW 5 TER,Gainesville,32601,Porters,795,13368-001-000,"$94,900",2,1,0,1958.0,,Single Family Residence,,$964.00,48,48,24,Conventional,06/11/2021,$119.37,$119.37,1.0,University Realty,Eric Leightman,259503308,259504837.0,Gainesville-Alachua,Gainesville-Alachua,True
1,OM611307,SLD,12221 S US HIGHWAY 441,MICANOPY,32667,LEITNER TR E LEVY GRANT,"1,139",16399-001-000,"$95,000",2,1,0,1964.0,,Single Family Residence,Fee Simple,"$2,031.00",99,99,99,Cash,03/16/2021,$83.41,$83.41,1.0,HARRIETT DOWNS REAL ESTATE LLC,Marc Pompeo,271513422,271500732.0,Ocala - Marion,Ocala - Marion,True
1,GC440566,SLD,1143 NE 25th ST,Gainesville,32641,Cedar Grove,984,10823-020-000,"$97,000",3,1,1,1970.0,,Single Family Residence,,"$1,537.00",77,77,66,Cash,03/22/2021,$101.63,$98.58,0.97,"Charles Rutenberg Realty, Fort Lauderdale",Dror Gerges,276552821,259500054.0,,Lakeland,True
1,OM625255,SLD,4507 SE 1ST AVE,GAINESVILLE,32641,CREEK PARK EST-18 18A 19 19A 20 20A LKFLFM,"1,156",10867-020-000,"$97,500",3,1,0,1961.0,,Single Family Residence,Fee Simple,"$1,779.30",51,51,53,Cash,10/22/2021,$99.48,$84.34,0.85,GAILEY ENTERPRISES REAL ESTATE,Roger Garcia,278045689,261010944.0,Ocala - Marion,Orlando Regional,True
1,GC447881,SLD,507 NW 39TH Unit#241,Gainesville,32607,Hawthorne Reserve,900,06500-241-000,"$98,000",2,2,0,1976.0,Community,Single Family Residence,,"$1,432.00",8,8,0,Cash,09/03/2021,$116.67,$108.89,0.93,"Matchmaker Realty Of Alachua County, Inc",Gia Arvin,259503472,259500035.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC438853,SLD,432 SE 15th ST,Gainesville,32641,Canty Heights,968,12744-012-000,"$99,900",2,1,0,1956.0,,Single Family Residence,,$863.00,118,118,53,VA,02/11/2021,$103.20,$103.2,1.0,Florida Homes Realty & Mortgage,Fernando Frank Valentin,259503747,259504921.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC447793,SLD,4629 SE 6 AVE,Gainesville,32641,Lake Forest Glen,"1,104",10886-010-042,"$100,000",3,2,0,2004.0,,Single Family Residence,,"$2,436.00",41,41,1,Cash,10/20/2021,$99.64,$90.58,0.91,SUSKIN REALTY INC,Marc Suskin,259500193,259500054.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC447675,SLD,14720 NW 121st TER,Alachua,32615,Alachua Hills,"1,075",03195-003-004,"$100,000",3,1,1,1986.0,,Single Family Residence,,$21.00,36,36,12,Cash,10/07/2021,$116.28,$93.02,0.8,Classic Properties of North Florida,Carolyn Quinones,259500697,259500038.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC445234,SLD,18970 NW 246 ST,High Springs,32643,Pattons Addn,945,00989-000-000,"$100,000",2,1,0,1935.0,,Single Family Residence,,"$1,162.00",21,21,3,Cash,06/28/2021,$100.53,$105.82,1.05,BHHS Florida Realty,Alix A Freck,259506675,259505361.0,Gainesville-Alachua,Ocala - Marion,True
1,GC436901,SLD,1239 SE 17TH TER,Gainesville,32641,Lincoln Estates,"1,188",16106-122-000,"$100,050",3,1,0,1961.0,,Single Family Residence,,$790.00,185,185,226,Cash,03/29/2021,$92.51,$84.22,0.91,Exit Realty Producers,Debra Martin-Back,259503274,259500054.0,Ocala - Marion,Ocala - Marion,True
1,GC427906,SLD,1009 NW 6 AVE,Gainesville,32601,Brown Addn,"1,055",13908-000-000,"$101,000",2,1,0,1930.0,,Single Family Residence,,"$1,100.00",818,818,764,Cash,11/16/2021,$109.95,$95.73,0.87,WATSON REALTY CORP-GVILLE,Jesse Whitfield,259504186,259504926.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC444989,SLD,2931 NE 17th DR,Gainesville,32609,Carol Ests North,972,08197-003-099,"$103,000",3,1,0,1965.0,,Single Family Residence,,$772.00,11,11,2,Cash,06/09/2021,$97.74,$105.97,1.08,Sage Real Estate,Megan Atwater,259505974,259506015.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC438898,SLD,2929 NE 16th TER,Gainesville,32609,Carol Ests North,"1,269",08197-003-070,"$103,425",3,1,0,1965.0,,Single Family Residence,,"$1,924.00",189,189,190,Conventional,06/03/2021,$97.32,$81.5,0.84,Florida Homes Realty & Mortgage,Kimberly Woodham McNeill,259503718,259503210.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC447786,SLD,2207 E University AVE,Gainesville,32641,New Gainesville (S Of Univ Ave,"1,056",11251-001-000,"$105,000",2,1,0,2010.0,,Single Family Residence,,"$1,473.00",27,27,27,Conventional,12/07/2021,$99.43,$99.43,1.0,SUSKIN REALTY INC,Marc Suskin,259500193,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC445894,SLD,8620 NW 37th CIR,Gainesville,32653,Turkey Creek Forest,"1,248",05979-150-000,"$105,000",2,2,0,1986.0,Community,Single Family Residence,,"$2,019.00",125,125,69,Cash,06/28/2021,$84.13,$84.13,1.0,"Boukari Realty, Inc.",Ben Boukari,259505161,259506249.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC443243,SLD,6025 Lexington AVE,Melrose,32666,Melrose,"1,271",18751-000-000,"$105,000",3,1,0,1917.0,,Single Family Residence,,"$1,009.00",65,65,42,Cash,06/10/2021,$105.98,$82.61,0.78,Century 21 Lakeside Realty,Carl F Buz,259506433,259500037.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC446167,SLD,6718 SW 13th ST,Gainesville,32618,Mackey Hudson (Mcintosh Grnt,912,07172-000-000,"$105,000",1,1,0,1963.0,,Single Family Residence,,"$1,218.00",38,38,6,Cash,07/09/2021,$115.13,$115.13,1.0,BHGRE Thomas Group,Laura M Gunter,259506191,259500004.0,Gainesville-Alachua,Ocala - Marion,True
