OBJECTID,Join_Count,TARGET_FID,Field1,prop_id,centroid_x,centroid_y,quality,actage,lotsize,effage,market_area_cd,FSP_area,FGR_area,FSP,FGR,Total_Area,livarea,SOURCE_ID,quality,actage,lotsize,FGR,livarea,Cluster_ID,Membership Probability
36,1,36,36,1163,-82.57998432,29.86298646,-0.482174075,-1.147258537,0.370090105,-1.262268702,0.436254781,-0.424528137,-1.027914836,0,0,1500,-0.4009311,36,-0.454923686,-0.730300126,0.019166704,0,-0.47863087,B1,0.984
37,1,37,37,1168,-82.56678166,29.86391329,-0.482174075,-0.877501607,1.633251663,-0.484315965,0.436254781,2.3203402,-1.027914836,1,0,1774,-0.050976336,37,-0.454923686,-0.47517978,0.752281458,0,-0.136789699,B1,0.992
38,1,38,38,1171,-82.56277655,29.87216942,-0.482174075,0.246485605,1.309364084,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1412,-0.513325331,38,-0.454923686,0.587821661,0.564303316,0,-0.588419275,B1,0.99
39,1,39,39,1177,-82.56338902,29.87063881,-0.482174075,-0.158149791,2.300460076,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,2212,0.508440403,39,-0.454923686,0.205141142,1.13951643,0,0.409657136,B1,0.99
40,1,40,40,1179,-82.56139344,29.86870055,1.318524992,-0.20310928,5.788729301,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1728,-0.109727866,40,1.299126896,0.162621085,3.164041019,0,-0.194179093,B1,0.99
41,1,41,41,1185,-82.57386222,29.87112558,-0.482174075,0.336404582,9.309387285,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,2564,0.958017326,41,-0.454923686,0.672861776,5.207363422,0,0.848810758,B1,0.986
42,1,42,42,1193,-82.57345861,29.86875838,-0.482174075,0.201526116,3.777387436,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,2022,0.265771041,42,-0.454923686,0.545301603,1.996696758,0,0.172613989,B1,0.99
43,1,43,43,1195,-82.57435625,29.86301438,-0.482174075,-0.697663653,2.928801979,0.034319194,0.436254781,-0.424528137,1.566492663,0,1,2907,1.396099384,43,-0.454923686,-0.30509955,1.504194026,1,1.276736019,B1,0.988
44,1,44,44,1199,-82.57241349,29.86644262,-0.482174075,0.066647651,2.961190737,0.293636773,0.436254781,0.759532714,-1.027914836,1,0,2042,0.291315185,44,-0.454923686,0.41774143,1.52299184,0,0.197565899,B1,0.99
45,1,45,45,1209,-82.56541094,29.8599039,-0.482174075,-0.427906722,0.20490744,0.682613141,0.436254781,0.920995558,-1.027914836,1,0,1302,-0.653818119,45,-0.454923686,-0.049979204,-0.076702148,0,-0.725654782,B1,0.996
46,1,46,46,1210,-82.56474615,29.86027377,1.318524992,-0.652704164,0.20490744,0.034319194,0.436254781,-0.424528137,0.559978829,0,1,1914,0.127832667,46,1.299126896,-0.262579492,-0.076702148,1,0.037873673,B1,0.998
47,1,47,47,1212,-82.56341655,29.86101347,-0.482174075,-0.78758263,0.208146316,-0.224998385,0.436254781,0.723652083,0.770729018,1,1,1933,0.152099603,47,-0.454923686,-0.390139665,-0.074822366,1,0.061577988,B1,0.998
48,1,48,48,1213,-82.5629387,29.86153674,1.318524992,-0.113190303,0.42838987,0.682613141,0.436254781,-0.424528137,0.650819428,0,1,1940,0.161040053,48,1.299126896,0.2476612,0.05300277,1,0.070311157,B1,0.998
49,1,49,49,1214,-82.56197657,29.8617899,1.318524992,-0.742623141,0.499645137,-0.095339596,0.436254781,-0.424528137,1.937122305,0,1,2300,0.620834634,49,1.299126896,-0.347619607,0.094357961,1,0.519445542,B1,0.998
50,1,50,50,1215,-82.5625475,29.85936338,-0.482174075,-0.158149791,1.594385154,0.682613141,0.436254781,2.589444939,1.152259533,1,1,2385,0.729397243,50,-0.454923686,0.205141142,0.729724081,1,0.62549116,B1,0.996
51,1,51,51,1216,-82.56160055,29.86056061,-0.482174075,-0.068230814,1.798434329,0.682613141,0.436254781,2.087116093,-1.027914836,1,0,1457,-0.455851008,51,-0.454923686,0.290181258,0.84815031,0,-0.532277477,B1,1
52,1,52,52,1217,-82.56045007,29.86140588,-0.482174075,-0.293028257,0.308551465,0.682613141,0.436254781,-0.424528137,0.977845583,0,1,1780,-0.043313093,52,-0.454923686,0.077580969,-0.016549142,1,-0.129304126,B1,1
53,1,53,53,1218,-82.5599147,29.86059163,1.318524992,-0.337987745,0.373328981,0.682613141,0.436254781,1.35156314,-1.027914836,1,0,2158,0.439471216,53,1.299126896,0.035060912,0.021046486,0,0.342286979,B1,1
54,1,54,54,1220,-82.55984553,29.86166121,-0.482174075,-0.562785187,0.062396905,0.423295562,0.436254781,-0.424528137,0.650819428,0,1,1569,-0.312803806,54,-0.454923686,-0.177539377,-0.15941253,1,-0.392546779,B1,1
55,1,55,55,1221,-82.56628852,29.86050492,-0.482174075,-1.596853422,1.519891011,-2.558856597,0.436254781,-0.424528137,-1.027914836,0,0,2170,0.454797702,55,-0.454923686,-1.155500703,0.686489108,0,0.357258125,B1,0.994
56,1,56,56,1227,-82.57017259,29.85345736,1.318524992,-0.562785187,1.322319588,-0.873292333,0.436254781,-0.424528137,-1.027914836,0,0,1512,-0.385604614,56,1.299126896,-0.177539377,0.571822442,0,-0.463659724,B1,0.996
57,1,57,57,1230,-82.56067952,29.85673997,-0.482174075,-1.461974956,1.633251663,-2.169880229,0.436254781,-0.424528137,0.956043839,0,1,2154,0.434362387,57,-0.454923686,-1.02794053,0.752281458,1,0.337296597,B1,0.998
58,1,58,58,1231,-82.5606779,29.85552135,-0.482174075,-1.596853422,2.281026821,-2.558856597,0.436254781,-0.424528137,-1.027914836,0,0,2118,0.388382929,58,-0.454923686,-1.155500703,1.128237742,0,0.292383158,B1,0.998
59,1,59,59,1232,-82.56068187,29.8578316,-0.482174075,-0.967420583,1.633251663,-1.78090386,0.436254781,6.643956337,-1.027914836,1,0,1326,-0.623165147,59,-0.454923686,-0.560219896,0.752281458,0,-0.695712489,B1,0.998
60,1,60,60,1235,-82.5661652,29.85171414,-0.482174075,-1.731731887,1.309364084,-2.947832966,0.436254781,-0.424528137,-1.027914836,0,0,1300,-0.656372534,60,-0.454923686,-1.283060876,0.564303316,0,-0.728149973,B1,0.998
61,1,61,61,1237,-82.56807072,29.85436588,1.318524992,-0.967420583,1.322319588,-1.002951123,0.436254781,2.3203402,0.788897138,1,1,2215,0.512272024,61,1.299126896,-0.560219896,0.571822442,1,0.413399923,B1,0.998
62,1,62,62,1238,-82.56807888,29.85345755,1.318524992,-0.967420583,1.319080712,-0.743633544,0.436254781,-0.424528137,-1.027914836,0,0,2260,0.569746347,62,1.299126896,-0.560219896,0.56994266,0,0.469541721,B1,0.996
63,1,63,63,1239,-82.56395914,29.85433517,-0.482174075,-0.652704164,1.302886333,0.163977983,0.436254781,-0.424528137,0.425534743,0,1,1204,-0.778984422,63,-0.454923686,-0.262579492,0.560543753,1,-0.847919142,B1,0.998
64,1,64,64,1240,-82.56395598,29.85342866,-0.482174075,-1.327096491,1.302886333,-1.78090386,0.436254781,-0.424528137,-1.027914836,0,0,1536,-0.354951642,64,-0.454923686,-0.900380357,0.560543753,0,-0.433717431,B1,0.998
65,1,65,65,1241,-82.56599253,29.85390077,1.318524992,-1.776691376,2.928801979,-3.077491756,0.436254781,-0.424528137,-1.027914836,0,0,2610,1.016768856,65,1.299126896,-1.325580933,1.504194026,0,0.906200151,B1,0.996
66,1,66,66,1242,-82.57016885,29.85436694,-0.482174075,-0.248068768,1.325558463,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1144,-0.855616852,66,-0.454923686,0.120101027,0.573702223,0,-0.922774873,B1,0.992
67,1,67,67,1243,-82.57140937,29.85750645,-0.482174075,0.021688162,1.665640421,0.682613141,0.436254781,1.190100297,-1.027914836,1,0,1852,0.048645823,67,-0.454923686,0.375221373,0.771079272,0,-0.039477249,B1,0.986
68,1,68,68,1246,-82.57010925,29.85766362,1.318524992,-0.382947234,1.633251663,0.682613141,0.436254781,-0.424528137,0.890638608,0,1,2012,0.25299897,68,1.299126896,-0.007459146,0.752281458,1,0.160138034,B1,0.998
69,1,69,69,1247,-82.57111086,29.85657654,-0.482174075,0.291445093,0.013813769,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1440,-0.47756353,69,-0.454923686,0.630341719,-0.187609252,0,-0.553486601,B1,0.988
70,1,70,70,1249,-82.57433288,29.85712991,-0.482174075,-0.068230814,1.309364084,0.682613141,0.436254781,2.14093704,0.879737736,1,1,1835,0.026933301,70,-0.454923686,0.290181258,0.564303316,1,-0.060686373,B1,0.988
71,1,71,71,1252,-82.57257468,29.85617272,-0.482174075,-0.382947234,1.309364084,0.682613141,0.436254781,1.405384088,-1.027914836,1,0,696,-1.427805663,71,-0.454923686,-0.007459146,0.564303316,0,-1.481697664,B1,0.988
72,1,72,72,1257,-82.57096865,29.85542737,-0.482174075,-1.05733956,0.444584249,-1.002951123,0.436254781,-0.424528137,0.857935993,0,1,2009,0.249167348,72,-0.454923686,-0.645260011,0.062401677,1,0.156395247,B1,0.992
73,1,73,73,1258,-82.57195153,29.85512762,-0.482174075,-0.248068768,0.457539752,0.682613141,0.436254781,1.082458401,-1.027914836,1,0,1856,0.053754651,73,-0.454923686,0.120101027,0.069920803,0,-0.034486867,B1,0.99
74,1,74,74,1260,-82.57483387,29.85450884,-0.482174075,0.606161512,0.208146316,0.163977983,0.436254781,-0.424528137,-1.027914836,0,0,1012,-1.024208198,74,-0.454923686,0.927982122,-0.074822366,0,-1.087457481,B1,0.99
75,1,75,75,1262,-82.57466125,29.85271659,3.119224058,-1.05733956,0.337701348,-1.391927491,0.436254781,-0.424528137,0.60721594,0,1,3826,2.569852771,75,3.053177478,-0.645260011,0.00036889,1,2.423276297,B1,0.99
76,1,76,76,1263,-82.57407315,29.85293614,3.119224058,-1.64181291,0.509361764,-2.688515387,0.436254781,-0.424528137,2.198743229,0,1,2885,1.368000827,76,3.053177478,-1.19802076,0.099997306,1,1.249288918,B1,0.992
77,1,77,77,1267,-82.57180264,29.85292107,4.919923125,-0.922461095,0.61300579,-0.743633544,0.436254781,-0.424528137,-1.027914836,0,0,4418,3.325959414,77,4.80722806,-0.517699838,0.160150311,0,3.161852841,B1,0.992
78,1,78,78,1268,-82.57203798,29.854292,1.318524992,-1.731731887,0.337701348,-2.947832966,0.436254781,8.070211453,4.513361684,1,1,3995,2.785700783,78,1.299126896,-1.283060876,0.00036889,1,2.634119939,B1,0.994
79,1,79,79,1269,-82.57441101,29.85122805,1.318524992,-1.686772399,0.493167385,-2.818174176,0.436254781,-0.424528137,1.697303125,0,1,2056,0.309196085,79,1.299126896,-1.240540818,0.090598398,1,0.215032236,B1,0.996
80,1,80,80,1270,-82.57363665,29.85103916,1.318524992,-0.967420583,0.522317268,-1.65124507,0.436254781,-0.424528137,1.915320562,0,1,2809,1.270933082,80,1.299126896,-0.560219896,0.107516431,1,1.154471659,B1,0.992
81,1,81,81,1271,-82.57270171,29.85098564,3.119224058,-0.922461095,0.392762236,-0.613974754,0.436254781,-0.424528137,1.065052558,0,1,3402,2.028316932,81,3.053177478,-0.517699838,0.032325174,1,1.894295799,B1,0.992
82,1,82,82,1273,-82.57173995,29.84980514,1.318524992,-1.596853422,0.651872299,-2.558856597,0.436254781,-0.424528137,0.988746455,0,1,4488,3.415363916,82,1.299126896,-1.155500703,0.182707688,1,3.249184527,B1,0.994
83,1,83,83,1275,-82.57328819,29.84891836,3.119224058,-1.012380072,4.331235196,-0.873292333,0.436254781,-0.424528137,2.503967641,0,1,4200,3.046889648,83,3.053177478,-0.602739953,2.31813938,1,2.889253222,B1,0.994
84,1,84,84,1278,-82.57056481,29.84869491,1.318524992,-0.652704164,2.27454907,-1.262268702,0.436254781,2.302399884,-1.027914836,1,0,2496,0.871167239,84,1.299126896,-0.262579492,1.124478179,0,0.763974263,B1,0.998
85,1,85,85,1280,-82.56874493,29.85017964,-0.482174075,0.38136407,1.309364084,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1539,-0.351120021,85,-0.454923686,0.715381834,0.564303316,0,-0.429974645,B1,0.998
86,1,86,86,1281,-82.56865366,29.84855082,-0.482174075,-1.012380072,1.309364084,-0.873292333,0.436254781,-0.424528137,0.810698881,0,1,2692,1.121499843,86,-0.454923686,-0.602739953,0.564303316,1,1.008502983,B1,0.998
87,1,87,87,1282,-82.57022529,29.85050393,1.318524992,-0.78758263,1.957139242,-0.224998385,0.436254781,-0.424528137,0.570879701,0,1,1947,0.169980504,87,1.299126896,-0.390139665,0.9402596,1,0.079044325,B1,0.996
88,1,88,88,1283,-82.5695656,29.84869457,1.318524992,0.066647651,0.985476505,0.552954352,0.436254781,-0.424528137,-1.027914836,0,0,2096,0.360284372,88,1.299126896,0.41774143,0.376325174,0,0.264936057,B1,0.998
89,1,89,89,1287,-82.56926939,29.84564525,-0.482174075,0.201526116,0.017052644,0.682613141,0.436254781,-0.424528137,0.890638608,0,1,1621,-0.246389033,89,-0.454923686,0.545301603,-0.18572947,1,-0.327671813,B1,0.998
90,1,90,90,1296,-82.56244676,29.85448211,-0.482174075,0.426323558,0.013813769,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,900,-1.167255401,90,-0.454923686,0.757901892,-0.187609252,0,-1.227188179,B1,0.998
91,1,91,91,1297,-82.56209576,29.85332133,-0.482174075,0.246485605,0.344179099,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1438,-0.480117945,91,-0.454923686,0.587821661,0.004128453,0,-0.555981792,B1,0.998
92,1,92,92,1298,-82.56243673,29.85390473,-0.482174075,0.291445093,0.013813769,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1904,0.115060595,92,-0.454923686,0.630341719,-0.187609252,0,0.025397718,B1,0.998
93,1,93,93,1299,-82.56241666,29.85274997,-0.482174075,0.246485605,0.013813769,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1272,-0.692134334,93,-0.454923686,0.587821661,-0.187609252,0,-0.763082647,B1,0.998
94,1,94,94,1302,-82.56161954,29.85113024,-0.482174075,-0.967420583,1.31260296,-0.743633544,0.436254781,-0.424528137,0.570879701,0,1,1784,-0.038204265,94,-0.454923686,-0.560219896,0.566183098,1,-0.124313744,B1,0.998
95,1,95,95,1305,-82.57895767,29.85382087,1.318524992,-0.607744676,1.338513967,0.293636773,0.436254781,4.222013688,0.570879701,1,1,1872,0.074189966,95,1.299126896,-0.220059434,0.581221349,1,-0.014525338,B1,0.986
96,1,96,96,1307,-82.57589845,29.85422066,1.318524992,-0.967420583,0.337701348,-0.743633544,0.436254781,-0.424528137,0.810698881,0,1,2508,0.886493725,96,1.299126896,-0.560219896,0.00036889,1,0.778945409,B1,0.986
97,1,97,97,1308,-82.57669019,29.85373331,1.318524992,-0.113190303,0.337701348,-0.224998385,0.436254781,-0.424528137,-1.027914836,0,0,2352,0.687249406,97,1.299126896,0.2476612,0.00036889,0,0.584320508,B1,0.988
98,1,98,98,1309,-82.57736554,29.85335746,1.318524992,-0.517825699,0.337701348,0.552954352,0.436254781,-0.424528137,-1.027914836,0,0,2415,0.767713458,98,1.299126896,-0.135019319,0.00036889,0,0.662919026,B1,0.988
99,1,99,99,1311,-82.57856332,29.85259057,-0.482174075,-0.20310928,0.104502291,0.163977983,0.436254781,-0.424528137,-1.027914836,0,0,1636,-0.227230925,99,-0.454923686,0.162621085,-0.134975372,0,-0.30895788,B1,0.99
100,1,100,100,1314,-82.57848785,29.85569174,1.318524992,0.111607139,2.854307836,0.682613141,0.436254781,-0.424528137,1.108656045,0,1,2847,1.319466954,100,1.299126896,0.460261488,1.460959053,1,1.201880288,B1,0.984
101,1,101,101,1317,-82.57694861,29.85569551,1.318524992,-0.922461095,1.309364084,-0.613974754,0.436254781,1.051062848,0.730759155,1,1,1898,0.107397352,101,1.299126896,-0.517699838,0.564303316,1,0.017912145,B1,0.986
102,1,102,102,1323,-82.5758592,29.8478146,-0.482174075,0.291445093,0.013813769,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1579,-0.300031734,102,-0.454923686,0.630341719,-0.187609252,0,-0.380070824,B1,0.996
103,1,103,103,1327,-82.58055028,29.84900754,-0.482174075,-1.686772399,5.202492784,-2.818174176,0.436254781,2.060205619,1.108656045,1,1,2373,0.714070757,103,-0.454923686,-1.240540818,2.823800582,1,0.610520014,B1,0.988
104,1,104,104,1328,-82.57978177,29.85080896,-0.482174075,-0.967420583,0.013813769,-0.743633544,0.436254781,-0.424528137,0.014935237,0,1,1443,-0.473731909,104,-0.454923686,-0.560219896,-0.187609252,1,-0.549743814,B1,0.986
105,1,105,105,1329,-82.57912514,29.84777529,1.318524992,-0.877501607,0.013813769,-0.484315965,0.436254781,-0.424528137,-1.027914836,0,0,2394,0.740892107,105,1.299126896,-0.47517978,-0.187609252,0,0.63671952,B1,0.992
106,1,106,106,1336,-82.58210635,29.8479999,-0.482174075,-1.417015468,0.334462472,-2.040221439,0.436254781,-0.424528137,-1.027914836,0,0,1456,-0.457128216,106,-0.454923686,-0.985420472,-0.001510891,0,-0.533525073,B1,0.988
107,1,107,107,1342,-82.60982761,29.84893323,-0.482174075,-1.64181291,-0.238818543,-2.688515387,0.436254781,-0.424528137,-0.08317261,0,1,1321,-0.629551183,107,-0.454923686,-1.19802076,-0.334232202,1,-0.701950467,B1,0.968
108,1,108,108,1348,-82.6100536,29.84990836,-0.482174075,1.954946166,0.08183016,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1610,-0.260438312,108,-0.454923686,2.203583852,-0.148133842,0,-0.341395363,B1,0.968
109,1,109,109,1349,-82.6098624,29.84947761,-0.482174075,-1.05733956,0.149846552,-1.002951123,0.436254781,1.728309774,0.650819428,1,1,2070,0.327076985,109,-0.454923686,-0.645260011,-0.108658432,1,0.232498573,B1,0.968
110,1,110,110,1355,-82.6090492,29.84686097,1.318524992,-1.05733956,0.234057322,-1.002951123,0.436254781,-0.424528137,1.428414953,0,1,2864,1.341179476,110,1.299126896,-0.645260011,-0.059784115,1,1.223089412,B1,0.962
111,1,111,111,1356,-82.60972279,29.84692761,1.318524992,-1.05733956,0.136891049,-1.002951123,0.436254781,-0.424528137,1.323039858,0,1,3436,2.071741976,111,1.299126896,-0.645260011,-0.116177558,1,1.936714046,B1,0.96
112,1,112,112,1357,-82.61034366,29.84696049,1.318524992,-0.922461095,0.072113533,-0.613974754,0.436254781,-0.424528137,-1.027914836,0,0,2987,1.498275958,112,1.299126896,-0.517699838,-0.153773186,0,1.37654366,B1,0.96
113,1,113,113,1358,-82.61100861,29.84698957,1.318524992,-0.967420583,0.107741167,-2.040221439,0.436254781,-0.424528137,0.894272232,0,1,2587,0.987393091,113,1.299126896,-0.560219896,-0.13309559,1,0.877505454,B1,0.96
114,1,114,114,1359,-82.61198724,29.84672132,1.318524992,-0.967420583,0.949848872,-0.743633544,0.436254781,-0.424528137,1.061418934,0,1,2468,0.835405438,114,1.299126896,-0.560219896,0.355647579,1,0.729041588,B1,0.96
115,1,115,115,1360,-82.61201407,29.84589587,1.318524992,-1.012380072,0.110980042,-0.873292333,0.436254781,-0.424528137,0.977845583,0,1,2443,0.803475259,115,1.299126896,-0.602739953,-0.131215809,1,0.6978517,B1,0.96
