OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
2419,35074,1.030000000000000,2749,1.150000000000000,ST. JOHN'S,431000,7658,1994,100,2749.000000000000000,0.000000000000000,18.000000000000000,575.000000000000000,30,358692.000000000000000,1.333684806849737,-82.421745000000001,29.690707000000000,06040-001-031,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.912812036634213,405474.001834631431848,413132.001834631431848,-17867.998165368568152,46782.001834631431848,17867.998165368568152,46782.001834631431848,0.958542927690560
2420,35075,1.030000000000000,2920,1.150000000000000,ST. JOHN'S,481200,34206,1999,100,2728.000000000000000,0.000000000000000,212.000000000000000,552.000000000000000,25,374814.000000000000000,1.333684806849737,-82.421743000000006,29.691202000000001,06040-001-032,HighSprings_B,True,False,False,0.750000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.047594258152774,463978.854584027372766,498184.854584027372766,16984.854584027372766,89164.854584027372766,16984.854584027372766,89164.854584027372766,1.035296871537879
2421,35093,0.520000000000000,2253,1.150000000000000,ST. JOHN'S,361900,4016,1994,100,2253.000000000000000,0.000000000000000,392.000000000000000,469.000000000000000,30,303599.000000000000000,0.673316601516372,-82.424412000000004,29.692377000000000,06040-010-004,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.761512162039740,348541.352973948582076,352557.352973948582076,-9342.647026051417924,44942.352973948582076,9342.647026051417924,44942.352973948582076,0.974184451433956
2422,35096,0.460000000000000,1839,1.150000000000000,ST. JOHN'S,387500,5100,1995,100,1839.000000000000000,0.000000000000000,315.000000000000000,462.000000000000000,29,324275.000000000000000,0.595626224418329,-82.424363999999997,29.693472000000000,06040-010-007,HighSprings_B,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.637826103349839,307991.080878534645308,313091.080878534645308,-74408.919121465354692,-16283.919121465354692,74408.919121465354692,16283.919121465354692,0.807976982912347
2423,35097,1.140000000000000,2082,1.150000000000000,ST. JOHN'S,435300,7575,2000,100,1154.000000000000000,928.000000000000000,40.000000000000000,460.000000000000000,24,362430.000000000000000,1.476117164862816,-82.424543999999997,29.693928000000000,06040-010-008,HighSprings_B,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.836911833191007,375837.381643941276707,383412.381643941276707,-51887.618356058723293,13407.381643941276707,51887.618356058723293,13407.381643941276707,0.880800325393846
2424,35102,0.760000000000000,2162,1.150000000000000,ST. JOHN'S,436700,7181,2007,100,2162.000000000000000,0.000000000000000,444.000000000000000,462.000000000000000,17,364014.000000000000000,0.984078109908544,-82.425173999999998,29.692132000000001,06040-010-013,HighSprings_B,True,False,False,0.830000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.950884376195889,421208.978796695882920,428389.978796695882920,-8310.021203304117080,57194.978796695882920,8310.021203304117080,57194.978796695882920,0.980970869697037
2425,35137,0.510000000000000,2675,1.150000000000000,ST. JOHN'S,562200,36386,2006,100,2675.000000000000000,0.000000000000000,1621.000000000000000,800.000000000000000,18,441484.000000000000000,0.660368205333365,-82.422679000000002,29.693470000000001,06040-030-011,HighSprings_B,True,False,False,0.820000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.067085827241607,473111.243649547861423,509497.243649547861423,-52702.756350452138577,31627.243649547861423,52702.756350452138577,31627.243649547861423,0.906256214246794
2426,35140,0.510000000000000,2730,1.150000000000000,ST. JOHN'S,404300,3824,1994,100,1590.000000000000000,1140.000000000000000,464.000000000000000,484.000000000000000,30,339831.000000000000000,0.660368205333365,-82.422673000000003,29.694562999999999,06040-030-014,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.883918147155121,393925.918762147834059,397749.918762147834059,-6550.081237852165941,54094.918762147834059,6550.081237852165941,54094.918762147834059,0.983798958105733
2427,35149,1.000000000000000,3333,1.400000000000000,ST. JOHN'S,760000,6106,2018,100,5354.000000000000000,832.000000000000000,608.000000000000000,944.000000000000000,6,639894.000000000000000,1.294839618300716,-82.425151000000000,29.695646000000000,06040-030-023,HighSprings_B,True,False,False,0.940000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.606482369552433,811372.364022701978683,817478.364022701978683,57478.364022701978683,171478.364022701978683,57478.364022701978683,171478.364022701978683,1.075629426345660
2438,35267,5.020000000000000,4857,1.400000000000000,ST. JOHN'S,1341300,46241,2010,100,4338.000000000000000,519.000000000000000,985.000000000000000,957.000000000000000,14,1093864.000000000000000,6.500094883869593,-82.406577999999996,29.696498999999999,06047-010-002,HighSprings_B,True,False,False,0.860000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.863525727301164,1049186.570668308762833,1095427.570668308762833,-245872.429331691237167,-44677.429331691237167,245872.429331691237167,44677.429331691237167,0.816690949577506
2439,35274,2.500000000000000,3837,1.400000000000000,ST. JOHN'S,1012500,20322,2012,100,3141.000000000000000,696.000000000000000,366.000000000000000,816.000000000000000,12,840303.000000000000000,3.237099045751790,-82.408147000000000,29.696503000000000,06047-010-031,HighSprings_B,True,False,False,0.880000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.679179235030784,872553.487610057462007,892875.487610057462007,-119624.512389942537993,32250.487610057462007,119624.512389942537993,32250.487610057462007,0.881852333442032
2440,35287,0.380000000000000,1872,1.150000000000000,ST. JOHN'S,361500,3454,1995,100,1046.000000000000000,826.000000000000000,32.000000000000000,420.000000000000000,29,303821.000000000000000,0.492039054954272,-82.411545000000004,29.691144000000001,06048-010-002,HighSprings_B,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.614093641119313,300767.746963772922754,304221.746963772922754,-57278.253036227077246,-3053.253036227077246,57278.253036227077246,3053.253036227077246,0.841553933509745
2441,35290,0.350000000000000,2004,1.150000000000000,ST. JOHN'S,395300,22059,1995,100,2004.000000000000000,0.000000000000000,268.000000000000000,400.000000000000000,29,313946.000000000000000,0.453193866405251,-82.411569999999998,29.691943999999999,06048-010-005,HighSprings_B,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.668878738215481,317705.057175466266926,339764.057175466266926,-55535.942824533733074,3759.057175466266926,55535.942824533733074,3759.057175466266926,0.859509378131713
2442,35301,0.520000000000000,1833,1.150000000000000,ST. JOHN'S,389900,3864,2000,100,3666.000000000000000,0.000000000000000,798.000000000000000,840.000000000000000,24,327550.999999999941792,0.673316601516372,-82.411642000000001,29.693933999999999,06048-010-016,HighSprings_B,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.739817144191099,341061.176769599493127,344925.176769599493127,-44974.823230400506873,13510.176769599551335,44974.823230400506873,13510.176769599551335,0.884650363605026
2443,35304,0.260000000000000,1826,1.150000000000000,ST. JOHN'S,357700,3811,1994,100,3652.000000000000000,0.000000000000000,752.000000000000000,800.000000000000000,30,300234.000000000000000,0.336658300758186,-82.410709999999995,29.693601000000001,06048-010-019,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.596716467639004,295586.402589427249040,299397.402589427249040,-58302.597410572750960,-4647.597410572750960,58302.597410572750960,4647.597410572750960,0.837006996336112
2444,35320,0.210000000000000,1707,1.000000000000000,ST. JOHN'S,327900,2880,1994,100,1707.000000000000000,0.000000000000000,48.000000000000000,400.000000000000000,30,275835.000000000000000,0.271916319843150,-82.408912999999998,29.693695000000002,06048-010-035,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.353754812210303,231828.884617866744520,234708.884617866744520,-93191.115382133255480,-44006.115382133255480,93191.115382133255480,44006.115382133255480,0.715794097645217
2445,35321,0.210000000000000,1324,1.000000000000000,ST. JOHN'S,229000,2912,1994,100,2648.000000000000000,0.000000000000000,400.000000000000000,840.000000000000000,30,191738.000000000000000,0.271916319843150,-82.408910000000006,29.693891000000001,06048-010-036,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.226320015169645,204090.747616189328255,207002.747616189328255,-21997.252383810671745,12352.747616189328255,21997.252383810671745,12352.747616189328255,0.903942129328338
2446,35322,0.220000000000000,1208,1.000000000000000,ST. JOHN'S,269600,3107,1995,100,1208.000000000000000,0.000000000000000,48.000000000000000,400.000000000000000,29,226053.000000000000000,0.284864716026157,-82.408904000000007,29.694085000000001,06048-010-037,HighSprings_B,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.153646518088028,189784.883588122960646,192891.883588122960646,-76708.116411877039354,-36268.116411877039354,76708.116411877039354,36268.116411877039354,0.715474345653275
2447,35326,0.310000000000000,1304,1.000000000000000,ST. JOHN'S,275000,2955,1994,100,1304.000000000000000,0.000000000000000,38.000000000000000,400.000000000000000,30,230795.000000000000000,0.401400281673222,-82.408818999999994,29.694852999999998,06048-010-041,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.208291555282639,200444.274670908576809,203399.274670908576809,-71600.725329091423191,-30350.725329091423191,71600.725329091423191,30350.725329091423191,0.739633726076031
2448,35327,0.320000000000000,1581,1.000000000000000,ST. JOHN'S,300300,2808,1995,100,1581.000000000000000,0.000000000000000,156.000000000000000,440.000000000000000,29,252447.000000000000000,0.414348677856229,-82.408804000000003,29.695049000000001,06048-010-042,HighSprings_B,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.362313563130671,233821.565563386160647,236629.565563386160647,-63670.434436613839353,-18625.434436613839353,63670.434436613839353,18625.434436613839353,0.787977241303317
2449,35329,0.220000000000000,1248,1.000000000000000,ST. JOHN'S,282200,2784,1994,100,2496.000000000000000,0.000000000000000,336.000000000000000,800.000000000000000,30,237086.000000000000000,0.284864716026157,-82.408696000000006,29.695446000000000,06048-010-044,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.189597454283026,196731.956492080062162,199515.956492080062162,-82684.043507919937838,-40354.043507919937838,82684.043507919937838,40354.043507919937838,0.707001971977605
2450,35330,0.220000000000000,1295,1.000000000000000,ST. JOHN'S,298000,5820,1994,100,1295.000000000000000,0.000000000000000,50.000000000000000,400.000000000000000,30,247480.000000000000000,0.284864716026157,-82.409001000000004,29.695343999999999,06048-010-045,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.182370316083185,195315.272904513229150,201135.272904513229150,-96864.727095486770850,-52164.727095486770850,96864.727095486770850,52164.727095486770850,0.674950580216487
2451,35343,0.210000000000000,1315,1.000000000000000,ST. JOHN'S,316300,13061,2000,100,1315.000000000000000,0.000000000000000,62.000000000000000,400.000000000000000,24,255793.999999999970896,0.271916319843150,-82.408130000000000,29.695039000000001,06048-010-058,HighSprings_B,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.281585140221898,215687.340473602118436,228748.340473602118436,-87551.659526397881564,-40106.659526397852460,87551.659526397881564,40106.659526397852460,0.723200570577307
2452,35344,0.210000000000000,1224,1.000000000000000,ST. JOHN'S,288600,2832,1996,100,1224.000000000000000,0.000000000000000,198.000000000000000,400.000000000000000,28,242478.000000000000000,0.271916319843150,-82.408161000000007,29.694849999999999,06048-010-059,HighSprings_B,True,False,False,0.720000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.186454366328462,196114.581389729864895,198946.581389729864895,-89653.418610270135105,-46363.418610270135105,89653.418610270135105,46363.418610270135105,0.689350593866008
2453,35353,0.220000000000000,1466,1.000000000000000,ST. JOHN'S,326700,6238,2002,100,1466.000000000000000,0.000000000000000,157.000000000000000,400.000000000000000,22,271457.000000000000000,0.284864716026157,-82.408473000000001,29.693062999999999,06048-010-068,HighSprings_B,True,False,False,0.780000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.390429779924423,240489.036190765327774,246727.036190765327774,-79972.963809234672226,-30967.963809234672226,79972.963809234672226,30967.963809234672226,0.755209783259153
2454,35364,0.210000000000000,1457,1.000000000000000,ST. JOHN'S,309400,2825,1995,100,1457.000000000000000,0.000000000000000,166.000000000000000,400.000000000000000,29,260165.000000000000000,0.271916319843150,-82.407150999999999,29.695868999999998,06048-020-010,HighSprings_B,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.279843089194477,215311.929208258370636,218136.929208258370636,-91263.070791741629364,-44853.070791741629364,91263.070791741629364,44853.070791741629364,0.705032091817254
2455,35370,0.180000000000000,1228,1.000000000000000,ST. JOHN'S,276400,3003,1995,100,1228.000000000000000,0.000000000000000,48.000000000000000,420.000000000000000,29,231936.999999999970896,0.233071131294129,-82.406566999999995,29.695349000000000,06048-020-016,HighSprings_B,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.151069550657274,189296.443741356488317,192299.443741356488317,-84100.556258643511683,-42640.556258643482579,84100.556258643511683,42640.556258643482579,0.695728812378280
2456,35371,0.210000000000000,1555,1.000000000000000,ST. JOHN'S,341900,5968,2000,100,1355.000000000000000,0.000000000000000,240.000000000000000,400.000000000000000,24,284647.000000000000000,0.271916319843150,-82.406786999999994,29.695374000000001,06048-020-017,HighSprings_B,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.399504636868615,242681.372313748666784,248649.372313748666784,-93250.627686251333216,-41965.627686251333216,93250.627686251333216,41965.627686251333216,0.727257596705904
2457,35376,0.210000000000000,1262,1.000000000000000,ST. JOHN'S,352000,3970,1996,100,1262.000000000000000,0.000000000000000,663.000000000000000,441.000000000000000,28,295230.000000000000000,0.271916319843150,-82.406788000000006,29.695012999999999,06048-020-022,HighSprings_B,True,False,False,0.720000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.218344818367829,202469.556988484837348,206439.556988484837348,-145560.443011515162652,-92760.443011515162652,145560.443011515162652,92760.443011515162652,0.586476014171832
2458,35387,0.180000000000000,1328,1.000000000000000,ST. JOHN'S,308700,807,1997,100,1328.000000000000000,0.000000000000000,280.000000000000000,400.000000000000000,27,261587.999999999970896,0.233071131294129,-82.408580999999998,29.692644000000001,06048-030-001,HighSprings_B,True,False,False,0.730000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.245640402375264,208072.197615034994669,208879.197615034994669,-99820.802384965005331,-53515.802384964976227,99820.802384965005331,53515.802384964976227,0.676641391691076
2459,35391,0.330000000000000,1849,1.150000000000000,ST. JOHN'S,426400,34414,1996,100,1848.500000000000000,0.000000000000000,315.500000000000000,400.000000000000000,28,328026.000000000000000,0.427297074039236,-82.409244000000001,29.692077000000001,06048-030-005,HighSprings_B,True,False,False,0.720000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.630670246936347,305795.007690389291383,340209.007690389291383,-86190.992309610708617,-22230.992309610708617,86190.992309610708617,22230.992309610708617,0.797863526478399
2460,35399,0.210000000000000,1254,1.000000000000000,ST. JOHN'S,288800,2880,2000,100,1254.000000000000000,0.000000000000000,176.000000000000000,420.000000000000000,24,242600.000000000000000,0.271916319843150,-82.407919000000007,29.693650999999999,06048-040-004,HighSprings_B,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.261523737877514,211403.463914462132379,214283.463914462132379,-74516.536085537867621,-31196.536085537867621,74516.536085537867621,31196.536085537867621,0.741978753166420
2461,35409,0.190000000000000,1465,1.000000000000000,ST. JOHN'S,335000,12803,2000,100,781.000000000000000,684.000000000000000,36.000000000000000,420.000000000000000,24,271947.000000000000000,0.246019527477136,-82.406159000000002,29.694279999999999,06048-040-014,HighSprings_B,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.339380905018498,228520.432401405298151,241323.432401405298151,-93676.567598594701849,-43426.567598594701849,93676.567598594701849,43426.567598594701849,0.720368454929568
2462,35413,0.170000000000000,1286,1.000000000000000,ST. JOHN'S,302000,2871,1994,100,2572.000000000000000,0.000000000000000,388.000000000000000,840.000000000000000,30,253828.999999999970896,0.220122735111122,-82.406391999999997,29.693701999999998,06048-040-018,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.192894379432962,197381.637413432326866,200252.637413432326866,-101747.362586567673134,-56447.362586567644030,101747.362586567673134,56447.362586567644030,0.663088203355736
2463,35416,0.230000000000000,1334,1.000000000000000,ST. JOHN'S,340000,2866,2012,100,2668.000000000000000,0.000000000000000,308.000000000000000,800.000000000000000,12,286134.000000000000000,0.297813112209165,-82.407038999999997,29.693536999999999,06048-040-021,HighSprings_B,True,False,False,0.880000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.487087233896338,264894.585138066962827,267760.585138066962827,-72239.414861933037173,-21239.414861933037173,72239.414861933037173,21239.414861933037173,0.787531132759020
