,OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST. JOHN'S,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Carol_Estates,Duck_Pond,EastGNV,EastMidtownEastA,Florida_Park,Gainesvilleish_Region,Golfview,HSBUI_2,Haile_Like,Hawthorne,Hickory_Forest,HighSpringsA,HighSpringsAGNV,HighSpringsAGNVSouth,HighSpringsB,High_Springs,High_Springs_Main,Highland,Jonesville,Kanapaha,Lincoln_Estates,Lugano,Metcalf,MidtownEast_A,MidtownEast_B,MidtownEast_C,Montery,Newnans_Lake,QuailCreek,Rural_North,Rural_South,San_Felasco,Sorrento,Split_Rock,Springtree,SummerCreek,Sweetwater,TC_Forest,Tioga,Tioga_A,Tioga_B,Turkey_Creek,Valwood,Waldo,WaldoRural,Westchester,WildsPlantation,swNewberry_A,swNewberry_B,landiness,in_subdivision,percent_good,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,sale_ratio,Assessment_Val
18,19,1,19,13744,0.19,1056,1.0,ALACHUA,205000,2015,100,1056.0,1985,2025,0,-82.49300449,29.79906899,03220-001-003,0,0.0,0,9,39,0,0,2,372,233214.02,2,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6479725757234742,True,0.91,12.193055796822744,197413.5008137187,197785.5008137187,0.9648073210425303,173878.0
22,23,1,23,14013,0.39,1442,1.0,ALACHUA,280000,2017,100,1442.0,2017,2025,0,-82.48745986999998,29.79271069,03306-000-000,0,37.0,420,7,7,0,0,2,1540,233214.03,1,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3300489712218684,True,0.9299999999999999,12.542729993308836,280051.83592164144,281591.83592164144,1.0056851282915766,236460.0
23,24,1,24,14018,0.33,1404,1.0,ALACHUA,250000,2000,100,1404.0,2000,2025,0,-82.48861788,29.79373591,03309-001-000,0,65.0,0,24,24,0,0,2,2013,233214.03,2,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.12542605257235,True,0.76,12.260024248128166,211086.7041357185,213099.7041357185,0.852398816542874,210487.0
24,25,1,25,14137,0.35,1762,1.0,ALACHUA,260000,1989,100,1762.0,1952,2025,0,-82.49303682,29.78869975,03386-000-000,0,32.0,440,30,72,0,0,2,3131,233214.02,2,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1936336921221893,True,0.7,12.409771683043456,245185.82784939822,248316.82784939822,0.9550647224976855,217869.0
25,26,1,26,14138,0.18,846,1.0,ALACHUA,154000,1995,100,846.0,1945,2025,0,-82.4930338,29.78844138,03386-013-000,0,42.0,0,29,79,0,0,1,40,233214.02,2,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6138687559485545,True,0.71,11.835422049948543,138057.01761744323,138097.01761744323,0.8967338806327483,130860.00000000001
26,27,1,27,14349,0.2,1285,1.0,ALACHUA,230000,2006,100,1285.0,2006,2025,0,-82.49472133,29.79858969,03522-000-000,0,198.0,320,18,18,0,0,2,1456,233215.02,2,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6820763954983939,False,0.8200000000000001,12.276102329847534,214508.003679994,215964.003679994,0.9389739290434521,194043.99999999997
28,29,1,29,14543,0.25,1619,1.0,ALACHUA,315000,2003,100,1619.0,2003,2025,0,-82.50251783,29.79450498,03605-010-019,0,287.0,507,21,21,0,0,2,1090,233215.01,1,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8525954943729924,True,0.79,12.451760916168107,255700.1930251464,256790.1930251464,0.8152069619845917,266660.0
29,30,1,30,14545,0.25,1595,1.0,ALACHUA,341700,2003,100,1595.0,2003,2025,0,-82.50251642,29.79394402,03605-010-021,0,383.0,484,21,21,0,0,2,9047,233215.01,2,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8525954943729924,True,0.79,12.444015472309712,253727.33174161028,262774.3317416103,0.7690205786994742,281398.0
31,32,1,32,30356,0.18,1488,1.0,GAINESVILLE,255000,1995,100,1248.0,1985,2025,0,-82.38078186,29.73329988,05979-092-000,0,384.0,0,29,39,0,0,2,3168,174302.01,1,34.0,47.0,TC_Forest,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.6138687559485545,True,0.71,12.248154704451256,208596.012211568,211764.012211568,0.8304471067120315,213582.0
32,33,1,33,30374,0.12,1152,1.0,GAINESVILLE,217000,1995,100,1152.0,1984,2025,0,-82.38232772,29.73332045,05979-110-000,0,0.0,0,29,40,0,0,2,423,174302.01,1,34.0,47.0,TC_Forest,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.40924583729903635,True,0.71,12.048994804551459,170927.5060813174,171350.5060813174,0.7896336685774996,184027.0
33,34,1,34,30403,0.11,874,1.0,GAINESVILLE,175000,1995,100,874.0,1989,2025,0,-82.38171258,29.73577872,05979-139-000,0,0.0,0,29,35,0,0,2,410,174302.01,2,34.0,47.0,TC_Forest,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.3751420175241167,True,0.71,11.888088188496873,145522.81952167902,145932.81952167902,0.8339018258381659,148340.0
34,35,1,35,30416,0.15,1596,1.0,GAINESVILLE,223900,1995,100,1356.0,1986,2025,0,-82.38338376,29.73546729,05979-152-000,0,240.0,0,29,38,0,0,2,4460,174302.01,1,34.0,47.0,TC_Forest,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.5115572966237955,True,0.71,12.272423211058152,213720.25325545296,218180.25325545296,0.9744540118599954,185855.0
35,36,1,36,30516,0.1,912,1.0,GAINESVILLE,179000,1995,100,912.0,1984,2025,0,-82.38746933,29.73454709,05985-402-000,0,0.0,0,29,40,0,0,2,399,174302.05,1,34.0,47.0,TC_Forest,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.34103819774919697,True,0.71,11.905214574357498,148036.5637142922,148435.5637142922,0.8292489592977217,151751.0
36,37,1,37,30527,0.11,1032,1.0,GAINESVILLE,212000,1995,100,1032.0,1986,2025,0,-82.38774893,29.7339721,05985-413-000,0,120.0,0,29,38,0,0,2,344,174302.05,1,34.0,47.0,TC_Forest,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.3751420175241167,True,0.71,12.00306699497104,163254.72580203362,163598.72580203362,0.7716921028397812,179856.0
37,38,1,38,30703,0.86,2165,1.1624432,SUWANNEE,405000,1995,100,2165.0,1990,2025,0,-82.40089806999998,29.7196436,06006-020-006,0,33.0,612,29,34,0,0,2,9517,114310.03,1,47.0,62.0,Gainesvilleish_Region,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.932928500643094,True,0.71,12.83606780821998,375520.29934030306,385037.29934030306,0.9507093810871681,334733.0
38,39,1,39,30740,0.45,2341,1.1624432,GAINESVILLE,475000,1995,100,2341.0,1993,2025,0,-82.39655533,29.72402097,06006-030-018,0,404.0,572,29,31,0,0,2,4148,114310.01,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.5346718898713865,True,0.71,12.818043255199376,368812.3493031884,372960.3493031884,0.7851796827435545,399602.0
39,40,1,40,30746,0.38,2451,1.1624432,GAINESVILLE,485000,1995,100,2451.0,1993,2025,0,-82.39710603,29.72438257,06006-031-023,0,355.0,542,29,31,0,0,2,3312,114310.01,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.2959451514469484,True,0.71,12.830462567499216,373421.30584451364,376733.30584451364,0.776769702772193,408938.0
40,41,1,41,30758,0.63,2279,1.1624432,GAINESVILLE,427000,1995,100,2279.0,1994,2025,0,-82.39625671,29.72536253,06006-031-035,0,392.0,508,29,30,0,0,2,11901,114310.01,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.1485406458199408,True,0.71,12.82484597928325,371329.8311128291,383230.8311128291,0.8974960915991314,351049.0
41,42,1,42,30769,0.38,2128,1.1624432,GAINESVILLE,466200,2010,100,2128.0,1995,2025,0,-82.39718177,29.72608182,06006-032-045,0,377.0,484,14,29,0,0,2,23512,114310.01,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.2959451514469484,True,0.86,12.910219346761151,404424.0951256572,427936.0951256572,0.9179238419683767,372758.0
42,43,1,43,30810,0.83,3109,1.1624432,GAINESVILLE,647000,1999,100,2525.0,1999,2025,0,-82.4003837,29.72536404,06006-040-024,584,97.0,511,25,25,0,0,2,53778,114310.01,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.8306170413183347,True,0.75,13.057947746665633,468807.6084141608,522585.6084141608,0.8077057317065854,496172.00000000006
45,46,1,46,30883,0.06,1327,1.0,GAINESVILLE,298000,2005,100,1326.5,1999,2025,0,-82.39379475,29.72478784,06006-063-052,0,13.5,434,19,25,0,0,2,224,114310.09,2,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20462291864951818,True,0.81,12.367196919409789,234966.19210871265,235190.19210871265,0.7892288325795727,253076.0
46,47,1,47,30894,0.06,1207,1.0,GAINESVILLE,249500,2002,100,1206.5,1999,2025,0,-82.3937949,29.72514534,06006-063-063,0,133.5,434,22,25,0,0,2,224,114310.09,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20462291864951818,True,0.78,12.292657530917502,218088.7853088685,218312.7853088685,0.8750011435225191,211851.0
47,48,1,48,30930,0.06,1380,1.0,GAINESVILLE,280000,2001,100,1379.5,2001,2025,0,-82.39474271,29.72610745,06006-065-097,0,39.5,412,23,23,0,0,2,300,114310.09,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20462291864951818,True,0.77,12.35068626502182,231118.597078517,231418.597078517,0.8264949895661321,237699.99999999997
48,49,1,49,30959,0.06,1380,1.0,GAINESVILLE,275000,2002,100,1379.5,2002,2025,0,-82.39562856,29.72676712,06006-066-125,0,204.5,412,22,22,0,0,2,300,114310.09,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20462291864951818,True,0.78,12.368882831806884,235362.65863489627,235662.65863489627,0.8569551223087137,233449.99999999997
50,51,1,51,30967,0.06,1380,1.0,GAINESVILLE,298000,2002,100,1379.5,2002,2025,0,-82.39462039999998,29.72676744,06006-066-133,0,204.5,412,22,22,0,0,2,208,114310.09,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20462291864951818,True,0.78,12.368882831806884,235362.65863489627,235570.65863489627,0.7905055658889136,253091.99999999997
51,52,1,52,31030,0.06,1207,1.0,GAINESVILLE,245000,2006,100,1206.5,2006,2025,0,-82.39630574999998,29.72804565,06006-067-233,0,133.5,434,18,18,0,0,2,224,114310.09,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20462291864951818,True,0.8200000000000001,12.334496601731082,227406.99070920437,227630.99070920437,0.9291060845273648,208026.0
52,53,1,53,31036,0.06,1380,1.0,GAINESVILLE,290000,2006,100,1379.5,2006,2025,0,-82.39554961999998,29.72804372,06006-067-239,0,204.5,412,18,18,0,0,2,224,114310.09,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20462291864951818,True,0.8200000000000001,12.410721902620464,245418.91894935048,245642.91894935048,0.8470445481012085,246276.0
53,54,1,54,31064,0.06,1380,1.0,GAINESVILLE,235000,2004,100,1379.5,2004,2025,0,-82.39359928,29.72740022,06006-068-188,0,204.5,412,20,20,0,0,2,200,114310.09,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20462291864951818,True,0.8,12.390063888653184,240401.05944753726,240601.05944753726,1.0238342955214352,199550.0
54,55,1,55,31074,0.06,1545,1.0,GAINESVILLE,290000,2004,100,1544.5,2004,2025,0,-82.39470199999998,29.72750986,06006-068-198,0,39.5,412,20,20,0,0,2,200,114310.09,1,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20462291864951818,True,0.8,12.445954169966647,254219.7094567008,254419.7094567008,0.8773093429541406,246300.0
55,56,1,56,31180,0.05,1400,1.0,GAINESVILLE,230000,1996,100,980.0,1996,2025,0,-82.40032813,29.72021998,06007-110-005,420,124.0,400,28,28,0,0,2,357,114310.04,2,30.0,42.0,QuailCreek,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17051909887459848,True,0.72,12.294416763300152,218472.79184160198,218829.79184160198,0.9514338775721826,195143.0
56,57,1,57,31219,0.25,2253,1.1624432,GAINESVILLE,440000,1996,100,1969.5,1994,2025,0,-82.39363901,29.72130257,06008-010-005,0,337.5,441,28,30,0,0,2,3475,114310.02,1,16.0,26.0,San_Felasco,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8525954943729924,True,0.72,12.793472360951919,359860.72513497144,363335.72513497144,0.8257630116703897,370525.0
57,58,1,58,31240,0.25,2010,1.1624432,GAINESVILLE,400000,1996,100,2010.0,1996,2025,0,-82.39444819,29.72053806,06008-020-025,0,310.0,420,28,28,0,0,2,3723,114310.02,1,16.0,26.0,San_Felasco,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8525954943729924,True,0.72,12.728407285944655,337191.83339639514,340914.83339639514,0.8522870834909878,336277.0
