,OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Name,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST. JOHN'S,SUWANNEE,WALDO,Highsprings_A1,Highsprings_B11,Highsprings_B12,Highsprings_B13,Highsprings_B14,Highsprings_B2,Highsprings_B3,Highsprings_B4,Highsprings_B5,Highsprings_B6,Highsprings_B7,Highsprings_B8,Highsprings_B9,Highsprings_C1,Highsprings_D1,Highsprings_E1,Highsprings_F1,MidtownEast_A1,MidtownEast_B1,MidtownEast_C1,MidtownEast_D1,MidtownEast_E1,MidtownEast_F1,Springtree_A1,Springtree_B1,Springtree_C1,Tioga_A1,Tioga_B1,WaldoRural_A1,WaldoRural_B1,WaldoRural_C1,swNewberry_A1,swNewberry_B1,landiness,in_subdivision,percent_good,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,AbsV_Market_Residual,sale_ratio
902,1045,1,1045,75233,0.23,1245,1.0,GAINESVILLE,110000,1995,100,1075.0,1969,2025,0,-82.29979758,29.68011675,08197-007-027,0,212.0,0,29,55,0,0,2.0,3493,324427.01,1,50.0,67.0,MidtownEast_C,MidtownEast_C1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7884312198668121,True,0.71,12.139640633403424,187145.3063501178,190638.3063501178,80638.30635011781,80638.30635011781,1.7330755122737982
915,1061,1,1061,76009,0.24,1620,1.0,GAINESVILLE,128000,2008,100,1392.0,1966,2025,0,-82.30853826,29.68321041,08231-003-009,0,308.0,0,16,58,0,0,2.0,1868,324428.01,1,51.0,70.0,Highland,MidtownEast_C1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8227108381218907,True,0.84,12.430560930937723,250336.40966341237,252204.40966341237,124204.40966341237,124204.40966341237,1.9703469504954092
950,1105,1,1105,29562,0.48,1197,1.0,SUWANNEE,122000,1995,100,1197.0,1961,2025,0,-82.42124826,29.77340111,05901-007-000,0,0.0,0,29,63,0,0,1.0,5510,233321.02,1,2.0,8.0,Alachua_Main,Highsprings_B13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6454216762437814,True,0.71,12.227085897416911,204247.11696923216,209757.11696923216,87757.11696923216,87757.11696923216,1.7193206308953455
1055,1228,1,1228,7744,0.17,1692,1.0,NEWBERRY,170000,2011,100,1692.0,2007,2025,0,-82.61377681,29.65937975,01894-102-083,0,460.0,441,13,17,0,0,2.0,243,224100.03,1,42.0,55.0,swNewberry_A,swNewberry_A1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5827535103363394,True,0.87,12.5219889473566,274303.09149661876,274546.09149661876,104546.09149661876,104546.09149661876,1.6149770088036397
1085,1264,1,1264,28031,0.5,1954,1.0,ALACHUA,205000,1995,100,1066.0,1977,2025,0,-82.42572393999998,29.77263593,05861-002-008,0,952.0,0,29,47,0,0,2.0,1235,233320.01,2,2.0,8.0,Alachua_Main,Highsprings_B13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.713980912753939,True,0.71,12.609916778660141,299514.1014276487,300749.1014276487,95749.10142764868,95749.10142764868,1.4670687874519448
1197,1403,1,1403,103038,0.31,1008,1.0,HAWTHORNE,52000,1995,100,1008.0,1990,2025,0,-82.09302698,29.59518349,19691-000-000,0,84.0,0,29,34,0,0,1.0,2943,315626.26,1,11.0,19.0,Hawthorne,WaldoRural_B1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0626681659074422,True,0.71,11.65235084117795,114961.30140342927,117904.30140342927,65904.30140342927,65904.30140342927,2.267390411604409
1203,1412,1,1412,93473,0.23,1212,1.0,ST. JOHN'S,92000,1995,100,1008.0,1963,2025,0,-82.26848083999998,29.63188262,16189-003-010,0,258.0,0,29,61,0,0,1.0,0,315412.04,1,29.0,41.0,Newnans_Lake,MidtownEast_C1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7884312198668121,True,0.71,12.08252470741676,176755.85470350497,176755.85470350497,84755.85470350497,84755.85470350497,1.9212592902554888
1204,1413,1,1413,93483,0.15,672,1.0,ST. JOHN'S,75000,1995,100,672.0,1965,2025,0,-82.26847818,29.63012963,16189-003-023,0,15.0,0,29,59,0,0,1.0,479,315412.04,1,29.0,41.0,Newnans_Lake,MidtownEast_C1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5141942738261817,True,0.71,11.681913694725923,118410.62016226699,118889.62016226699,43889.62016226699,43889.62016226699,1.5851949354968933
1206,1415,1,1415,93530,0.46,1176,1.0,ST. JOHN'S,99500,1995,100,1176.0,1966,2025,0,-82.26843157,29.63516739,16193-005-000,0,384.0,0,29,58,0,0,1.0,1284,315412.01,1,29.0,41.0,Newnans_Lake,MidtownEast_C1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.5768624397336242,False,0.71,12.081085030950653,176501.56654949862,177785.56654949862,78285.56654949862,78285.56654949862,1.7867896135628
1207,1416,1,1416,93626,0.41,1108,1.0,ST. JOHN'S,120000,1995,100,892.0,1960,2025,0,-82.28122835,29.62840082,16205-043-000,0,216.0,0,29,64,0,0,1.0,5237,315400.0,2,29.0,41.0,Newnans_Lake,MidtownEast_C1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.4054643484582299,False,0.71,12.033539774292676,168306.12524080955,173543.12524080955,53543.125240809546,53543.125240809546,1.4461927103400796
1213,1423,1,1423,94021,0.86,1200,1.0,GAINESVILLE,27500,1995,100,1200.0,1950,2025,0,-82.30941615,29.62913627,16248-001-000,0,156.0,0,29,74,0,0,1.0,2592,145409.02,1,6.0,13.0,EastGNV,MidtownEast_C1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.948047169936775,False,0.71,12.132037390947485,185727.79089707503,188319.79089707503,160819.79089707503,160819.79089707503,6.847992396257274
1217,1427,1,1427,91050,0.21,1232,1.0,GAINESVILLE,151000,1995,100,1232.0,1977,2025,0,-82.33624018,29.63409109,15699-059-030,0,24.0,460,29,47,0,0,2.0,4153,148400.02,1,26.0,37.0,MidtownEast_A,MidtownEast_A1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7198719833566545,True,0.71,12.55971765927987,284849.9015476901,289002.9015476901,138002.9015476901,138002.9015476901,1.9139265003158286
1223,1434,1,1434,92109,0.26,1478,1.0,GAINESVILLE,129900,1995,100,1170.0,1980,2025,0,-82.29269824,29.64290793,16077-004-000,0,828.0,0,29,44,0,0,2.0,2605,315410.0,2,6.0,13.0,EastGNV,MidtownEast_C1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8912700746320483,False,0.71,12.223912512537284,203599.98959171973,206204.98959171973,76304.98959171973,76304.98959171973,1.5874133147938394
1280,1494,1,1494,103258,0.6,1934,1.0,HAWTHORNE,120000,1995,100,1024.0,1900,2025,0,-82.08927844,29.59113239,19797-000-000,630,280.0,0,29,124,0,0,2.0,7236,315626.26,1,11.0,19.0,Hawthorne,WaldoRural_C1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2.0567770953047266,False,0.71,12.36173727351678,233686.85544339803,240922.85544339803,120922.85544339803,120922.85544339803,2.007690462028317
1311,1528,1,1528,86312,0.1,792,1.0,GAINESVILLE,65100,1995,100,792.0,1957,2025,0,-82.30672937999998,29.64797779,12744-031-000,0,0.0,0,29,67,0,0,1.0,333,145404.05,2,6.0,13.0,EastGNV,MidtownEast_C1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3427961825507878,True,0.71,11.73244479161244,124547.79186292349,124880.79186292349,59780.79186292349,59780.79186292349,1.9182917336854608
1474,1715,1,1715,33929,0.26,1436,1.0,GAINESVILLE,180000,1998,100,1436.0,1995,2025,0,-82.3873239,29.70905539,06020-030-081,0,362.0,462,26,29,0,0,2.0,22540,164314.13,1,16.0,26.0,San_Felasco,Highsprings_B13,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8912700746320483,True,0.74,12.494397334176703,266838.0860578057,289378.0860578057,109378.08605780569,109378.08605780569,1.607656033654476
1537,1790,1,1790,38046,0.37,972,1.0,GAINESVILLE,120100,1995,100,972.0,1979,2025,0,-82.35998203,29.69263535,06076-060-016,0,0.0,0,29,45,0,0,1.5,820,154324.1,1,33.0,45.0,Springtree,Springtree_B1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.2683458754379149,True,0.71,12.068182085226688,174238.8059478085,175058.8059478085,54958.80594780849,54958.80594780849,1.4576087089742589
1671,1955,1,1955,18375,0.19,1911,1.1624432,SUWANNEE,239900,1999,100,1911.0,1999,2025,0,-82.4627114,29.68471248,04211-322-073,0,188.0,504,25,25,0,0,2.0,389,134225.02,1,47.0,62.0,Gainesvilleish_Region,Highsprings_B13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6513127468464968,True,0.75,12.731138825039544,338114.14516364876,338503.14516364876,98603.14516364876,98603.14516364876,1.4110176955550178
